"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.00015490777820392,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000100466303077577,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.31788841798949e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.31788841798949e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.23888293993987e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",9.6280601098493e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.09653148569922e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000115068219620476,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.66384674848906e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.7155397950393e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
