"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000142585785831587,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b1",9.21237909905579e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b2",4.22865501112053e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b3",4.22865501112053e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b4",4.13390813441982e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b5",8.7728617265494e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b6",6.69703134385541e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b7",0.000107896439875072,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b8",3.60755856940702e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b9",7.20728378268199e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
