"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",4.83204420079585e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b1",8.36731514428649e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b2",4.3078225274857e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b3",4.3078225274857e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b4",4.11940390766252e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b5",7.67863142793991e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b6",6.19427198814102e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b7",0.00011331728737904,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b8",3.6524550159818e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b9",6.54217247979018e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
