"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",6.55438938159925e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b1",9.48126883792641e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b2",4.06403233399192e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b3",4.06403233399192e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b4",3.94328461856408e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b5",8.84822449262958e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b6",6.68506908140986e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b7",0.000112997359899363,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b8",3.44659480782847e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b9",7.18637040594856e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
