"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",6.56479109083966e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",9.332861751745e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",3.90848395391127e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",3.90848395391127e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",3.82495514410879e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",8.86986158588949e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",6.68750214975465e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000111245558993657,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.35339607205196e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.19804272424382e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
