"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000201026475137486,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b1",8.94252053594545e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b2",5.38282214802177e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b3",5.38282214802177e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b4",4.77501160839013e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b5",7.34286988548904e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b6",6.04224127840052e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b7",0.000118434530784375,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b8",4.19856697875485e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b9",6.36245884232397e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
