"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000126021601594615,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b1",3.37031766205493e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b2",2.7299372509096e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b3",2.7299372509096e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b4",2.68232174852951e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b5",3.29801434581218e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b6",3.00860194991661e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b7",3.48172186812741e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b8",2.48774520615802e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b9",3.07387954007503e-05,5.35396613391448,0.417230291522533,"P11_F2_To_C02_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
