"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000133975213260346,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b1",2.85987899169677e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b2",2.43499861189666e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b3",2.43499861189666e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b4",2.40669988746639e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b5",2.82086296516125e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b6",2.61795959069546e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b7",2.90913259525597e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b8",2.25755967811415e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
"b9",2.665117615975e-05,15.9927234303891,0.529574706061997,"P12_F_To_C01_Z10_01",5e-04,5.3e-12,"5e-04_5.3e-12"
