"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",5.48363384462704e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b1",7.79076973274586e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b2",3.87369842575929e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b3",3.87369842575929e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b4",3.7353348012888e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b5",7.25003685666134e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b6",5.82040173006216e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b7",9.62464458280259e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b8",3.31592807816947e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b9",6.1665696872919e-05,0.0311950309435107,0.145476546787586,"P13_B_To_C01_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
