"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000181170564240298,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b1",0.00011008495499922,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b2",5.13320542519033e-05,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b3",5.13320542519033e-05,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b4",4.94532217137569e-05,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b5",0.000101770861719058,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b6",7.54241121580314e-05,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b7",0.000133928632785745,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b8",4.22878241767489e-05,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b9",8.13983390656102e-05,1.50378218491124,0.159233301696179,"P13_D2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
