"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000254531534260204,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000150572393404269,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",6.33994023903597e-05,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",6.33994023903597e-05,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",6.12671471269073e-05,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.00013901215124519,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",9.2376246014927e-05,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000171018695806325,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",5.01391798823708e-05,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",0.000102030902934061,2.43679043674239,0.167395038742637,"P13_E_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
