"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.00018965703447821,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000115869473338279,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",5.49280992965285e-05,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",5.49280992965285e-05,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",5.38677133593256e-05,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000111205108234552,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.96891480133318e-05,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000125913830433292,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",4.52507145014513e-05,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",8.65913710148607e-05,3.55757937519824,0.200561085612089,"P13_F_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
