"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",6.99502271757816e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b1",9.16592774010293e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b2",3.80695974916038e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b3",3.80695974916038e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b4",3.72661303807686e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b5",8.71340153355543e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b6",6.59736680856841e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000109140247748221,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.27722221103985e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.09481348462656e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
