"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",3.74239145519903e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b1",5.27351514862748e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b2",3.24239951141079e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b3",3.24239951141079e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b4",3.02988795663055e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b5",4.73322421223625e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b6",4.16540620287165e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b7",7.71612447542879e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b8",2.78681669143485e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
"b9",4.31138072832507e-05,0.0224483224068643,0.139342685228636,"P14_C_To_C01_Z20_03",2e-04,5.3e-12,"2e-04_5.3e-12"
