"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",7.08582099743521e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",9.37814021853089e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",3.94975238500468e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",3.94975238500468e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",3.85866955301282e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",8.87971683493612e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",6.68800788691738e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000111342273899183,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.37792561718735e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.20328730068461e-05,0.0250931430435227,0.143517969422211,"P14_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
