"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000132713376149417,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b1",6.86837383828777e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b2",4.79154905090371e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b3",4.79154905090371e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b4",4.2181905953651e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b5",5.70741992791422e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b6",4.96271293412319e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b7",9.19724015077089e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b8",3.80732848494556e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
"b9",5.1342134637954e-05,2.3702789035644,0.16628748393334,"P14_E_To_C01_Z20_02",1e-04,5.3e-12,"1e-04_5.3e-12"
