"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","Kr","Barrier_Name"
"b0",8.86855071994977e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",9.09541488201473e-08,NA
"b1",1.45038971464737e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.48749176859863e-07,"En.CS"
"b2",5.17823012864497e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",5.31069312921979e-08,"En.Sub*"
"b3",5.17823012864497e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",5.31069312921979e-08,"En.Sub"
"b4",5.01854755853226e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",5.14692575950353e-08,"En.Sub-Ex.CS"
"b5",1.33145210202621e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.36551164286825e-07,"En.CS-Ex.CS"
"b6",9.23490599318336e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",9.47114179721155e-08,"En.CS-Ex.Sub"
"b7",1.85340080014725e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.9008121791621e-07,"Ex.CS"
"b8",4.30238853133223e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",4.41244684862222e-08,"En.Sub-Ex.Sub"
"b9",1.01667938610449e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",0.001,6.13425925925926e-19,"0.001_5.3e-12",1.04268680538873e-07,"En.CS-Ex.LC"
"b0",3.41149071804467e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",3.49875920278148e-08,NA
"b1",6.24076661104216e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",6.40041008973053e-08,"En.CS"
"b2",4.06272859733922e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",4.16665623422575e-08,"En.Sub*"
"b3",4.06272859733922e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",4.16665623422575e-08,"En.Sub"
