"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","kw_lignin","Kr","Barrier_Name"
"b1",6.24076661104216e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,6.40041008973053e-08,"En.CS"
"b6",4.58823023621295e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,4.70560059815473e-08,"En.CS-Ex.Sub"
"b9",4.75114501595449e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,4.87268285984018e-08,"En.CS-Ex.LC"
"b1",7.25131921945749e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,7.43681338987332e-08,"En.CS"
"b6",5.36860801727715e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,5.50594102666672e-08,"En.CS-Ex.Sub"
"b9",5.9812301702221e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,6.13423451259257e-08,"En.CS-Ex.LC"
"b1",1.004918134155e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,1.03062469181567e-07,"En.CS"
"b6",7.04969345197152e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,7.23002988441686e-08,"En.CS-Ex.Sub"
"b9",7.49476562907092e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,7.68648734076927e-08,"En.CS-Ex.LC"
"b1",1.06588726874714e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.09315346248228e-07,"En.CS"
"b6",7.64774480974627e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,7.8433798433315e-08,"En.CS-Ex.Sub"
"b9",9.34865793944788e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,9.58780360336046e-08,"En.CS-Ex.LC"
"b1",1.32205903969321e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.35587829897373e-07,"En.CS"
