"Krs","RSHA_id","Scenario"
2.90953246008506e-08,"Tomato_60_1","S1"
2.8815681570892e-08,"Tomato_60_10","S1"
2.90808737129617e-08,"Tomato_60_2","S1"
2.8977657801496e-08,"Tomato_60_3","S1"
2.85101808570446e-08,"Tomato_60_4","S1"
2.88594004568913e-08,"Tomato_60_5","S1"
2.80526103735879e-08,"Tomato_60_6","S1"
2.89806828632749e-08,"Tomato_60_7","S1"
2.85186209527026e-08,"Tomato_60_8","S1"
2.90354541599205e-08,"Tomato_60_9","S1"
3.31937722293036e-08,"Tomato_60_1","S2"
3.28359979518718e-08,"Tomato_60_10","S2"
3.31085263928667e-08,"Tomato_60_2","S2"
3.30756137749392e-08,"Tomato_60_3","S2"
3.24986786053236e-08,"Tomato_60_4","S2"
3.28717021056924e-08,"Tomato_60_5","S2"
3.21517919330369e-08,"Tomato_60_6","S2"
3.30979076806668e-08,"Tomato_60_7","S2"
3.25797558846799e-08,"Tomato_60_8","S2"
3.318430811136e-08,"Tomato_60_9","S2"
2.98878078366471e-10,"Tomato_60_1","S3"
2.95350479807593e-10,"Tomato_60_10","S3"
2.93638147958189e-10,"Tomato_60_2","S3"
2.96290881582045e-10,"Tomato_60_3","S3"
2.92045076297008e-10,"Tomato_60_4","S3"
2.9354127532678e-10,"Tomato_60_5","S3"
2.94466902928233e-10,"Tomato_60_6","S3"
2.99427216156008e-10,"Tomato_60_7","S3"
2.97435648394766e-10,"Tomato_60_8","S3"
2.99398814184998e-10,"Tomato_60_9","S3"
