"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000103663346463442,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000137799691668159,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.79902141043393e-05,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.79902141043393e-05,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.62372727558291e-05,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000124258981316322,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",8.39056835378817e-05,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000177350660667614,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.92213858895481e-05,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",9.29149929488015e-05,0.0207358524058345,0.0948530169868043,"B04_B_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
