"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",3.27967911974687e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b1",5.72152209784278e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b2",3.72602699428449e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b3",3.72602699428449e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b4",3.25671168998725e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b5",4.67284027778597e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b6",4.11325611531195e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b7",9.58086256707327e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b8",2.9772166460865e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b9",4.26825882039548e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
