"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",7.09005025579448e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b1",0.000101594091609788,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b2",4.11276596652851e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b3",4.11276596652851e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b4",4.00161960990067e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b5",9.50646715451583e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b6",7.04442997203292e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b7",0.000124138317578964,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b8",3.48860361195831e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b9",7.62064818199763e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
