"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",9.36057405457686e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000124488740539992,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.6530834108233e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.6530834108233e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.50581691741824e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000114466502750831,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.96475121953293e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000155300622420328,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.84476113764231e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",8.76015779647897e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
