"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000203179212326497,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000128040367266759,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.93231552164476e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.93231552164476e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.78283733593604e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000118431434069026,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",8.19906879040916e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000156528277357446,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",4.05507044917295e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",9.01099825864004e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
