"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.00019689007496141,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b1",0.000122763059009297,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b2",4.88947797166323e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b3",4.88947797166323e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b4",4.72681380289146e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b5",0.000112998681970835,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b6",7.97428601753107e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b7",0.000151975954929266,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b8",4.02477794951419e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
"b9",8.72148669475781e-05,0.23122434692947,0.123687060948662,"B05_D_To_C03_Z20_01",9e-04,5.3e-12,"9e-04_5.3e-12"
