"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000188623189952673,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b1",0.000112793704413374,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b2",4.88631004652647e-05,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b3",4.88631004652647e-05,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b4",4.68043533662615e-05,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b5",0.000102391899865774,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b6",7.5060659922228e-05,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b7",0.000143972419304419,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b8",4.01281238647217e-05,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
"b9",8.13290611252318e-05,0.374519975718426,0.123088570181564,"B05_E2_To_C01_Z20_01",7e-04,5.3e-12,"7e-04_5.3e-12"
