"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",4.48939194073684e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b1",6.61435588166879e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b2",3.80231640127864e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b3",3.80231640127864e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b4",3.47348262412109e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b5",5.67492499647375e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b6",4.84641876756919e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b7",0.000106027643162219,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b8",3.1454450156137e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b9",5.06561180584143e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
