"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.00020595256262291,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b1",9.77615883660836e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b2",5.2074956500906e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b3",5.2074956500906e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b4",4.99737111651063e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b5",9.05534092541241e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b6",6.89705441161759e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b7",0.000108483585786475,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b8",4.26467858001952e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
"b9",7.39021790469166e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",7e-04,5.3e-12,"7e-04_5.3e-12"
