"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000185301104125922,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",6.42496682450155e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.16591496365196e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.16591496365196e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.11078640480224e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",6.29429893803236e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",5.18160095563798e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",6.66410321968705e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.60619905757258e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",5.45291034574195e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
