"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000127397411064415,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b1",5.75499502841211e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b2",3.85715025355316e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b3",3.85715025355316e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b4",3.41190338557942e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b5",4.77213944388513e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b6",4.20382003126068e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b7",8.91052696437888e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b8",3.12120973598574e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
"b9",4.3463975805078e-05,0.0109835612937774,0.0975269243918215,"P01_A_To_C04_Z20_03",1e-04,5.3e-12,"1e-04_5.3e-12"
