"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",8.28490972103701e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000101611243290445,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b2",3.86487950495582e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b3",3.86487950495582e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b4",3.78358656340469e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b5",9.6174076306847e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.07834550683874e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000125812097420128,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.31586044905737e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.6726883673263e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",0.001,5.3e-12,"0.001_5.3e-12"
