"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",4.33039395983234e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b1",5.57030702844656e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b2",3.29715899009823e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b3",3.29715899009823e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b4",3.08098398128951e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b5",4.9777706893432e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b6",4.3489889446493e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b7",8.69685203446518e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b8",2.82857414323182e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
"b9",4.51218092549769e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",2e-04,5.3e-12,"2e-04_5.3e-12"
