"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",4.71905450199732e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b1",6.5951352987713e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b2",3.53985687178957e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b3",3.53985687178957e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b4",3.3446501918324e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b5",5.94701956700931e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b6",5.02211776875833e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b7",9.82890342184935e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b8",3.03114457546934e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
"b9",5.25961681603868e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",3e-04,5.3e-12,"3e-04_5.3e-12"
