"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000129522718219715,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b1",8.28605834279065e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b2",4.11474279022766e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b3",4.11474279022766e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b4",3.99777334080938e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b5",7.82276342295646e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b6",6.20860265942661e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b7",0.000100118758712109,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b8",3.52972593873991e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b9",6.60742361202072e-05,0.0445774806687605,0.134470497979316,"P04_D_FY_C02_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
