"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",6.62587962632224e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b1",0.0001089331448173,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b2",4.58978450518129e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b3",4.58978450518129e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b4",4.47390249918766e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b5",0.000102600062486412,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b6",7.51462905044811e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b7",0.000135006056796911,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b8",3.86025199938876e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b9",8.1360487459729e-05,0.0739725905750358,0.122200920922879,"P04_D_To_C01_Z20_01",8e-04,5.3e-12,"8e-04_5.3e-12"
