"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000177506610200372,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",8.30219835442115e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.50896491821033e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.50896491821033e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.41551065055177e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",7.99013071879834e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",6.20833089618232e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",8.74294462620162e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.81170365986938e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",6.6347982163852e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
