"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000163628798343245,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b1",7.77258540804864e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b2",4.41265900673124e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b3",4.41265900673124e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b4",4.3009351827571e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b5",7.43159571652402e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b6",5.91714812018703e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b7",8.27642795761336e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b8",3.74681579435863e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
"b9",6.27994098045125e-05,0.0648949993528508,0.166786089222036,"P04_F_FY_C01_Z10_01",8e-04,5.3e-12,"8e-04_5.3e-12"
