"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",6.8571413859303e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",9.87258939822282e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.1022715460159e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.1022715460159e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",3.99085618292934e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",9.25007018786369e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",6.88350825450431e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000116359694471936,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.47568441809205e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.42923685914961e-05,0.0211742792019445,0.138008516560821,"P11_A_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
