"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",3.45365906409054e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b1",5.39042827575532e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b2",3.32513377450916e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b3",3.32513377450916e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b4",3.10391734282266e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b5",4.83175543195907e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b6",4.24362566248118e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b7",7.86229982466382e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b8",2.85028701861054e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
"b9",4.39374504926025e-05,0.0241795422497173,0.143138750586319,"P11_B_To_C01_Z20_01",2e-04,5.3e-12,"2e-04_5.3e-12"
