"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000294631325790995,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.00015246351219012,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b2",6.22083275442812e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b3",6.22083275442812e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b4",5.96672779114533e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000138008358150284,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b6",9.09561924359638e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.0001738267139061,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b8",4.87765105113329e-05,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
"b9",0.000101079284251347,0.494794952620798,0.130380914118338,"P11_E2_To_C01_Z20_03",0.001,5.3e-12,"0.001_5.3e-12"
