"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",7.6234759548098e-05,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b1",0.000102188092739684,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b2",4.08794953167299e-05,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b3",4.08794953167299e-05,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b4",3.95362921524706e-05,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b5",9.41839211492603e-05,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b6",6.97267072865945e-05,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b7",0.000125260154571536,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b8",3.44635754227842e-05,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
"b9",7.54510677683817e-05,0.0417732524480829,0.120584983083397,"P12_C_To_C01_Z20_07",9e-04,5.3e-12,"9e-04_5.3e-12"
