"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000192234955973843,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b1",9.22315904719469e-05,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b2",5.32220836628674e-05,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b3",5.32220836628674e-05,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b4",4.87744138528479e-05,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b5",7.94544159116151e-05,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b6",6.3892174410141e-05,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b7",0.000115470871296728,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b8",4.24913088352804e-05,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
"b9",6.76617177376572e-05,0.697757795824201,0.138153170130631,"P12_D2_To_C03_Z20_06",3e-04,5.3e-12,"3e-04_5.3e-12"
