"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000202009125487336,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b1",9.37515736335965e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.96496331420195e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.96496331420195e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.84881548872967e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b5",8.96856052085488e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b6",6.78657231061372e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000100503680977534,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b8",4.13170161090656e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.30673283189118e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
