"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000144033268690468,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b1",6.70636244160375e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b2",4.40506297972346e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b3",4.40506297972346e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b4",4.15390572075703e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b5",6.13431721121989e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b6",5.21371186335175e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b7",7.78722513826923e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b8",3.71329133862081e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
"b9",5.4366246214078e-05,0.673004959181882,0.181750000859846,"P12_E_To_C01_Z20_02",3e-04,5.3e-12,"3e-04_5.3e-12"
