"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000192475784922565,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",7.89878853415358e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.78055778847813e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.78055778847813e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.71689450769406e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",7.72617384415988e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",6.11909803650501e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",8.3202273899478e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",4.06556511060432e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",6.49201357481728e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",0.001,5.3e-12,"0.001_5.3e-12"
