"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000104908904622036,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b1",4.68249628417976e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b2",3.74888029751492e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b3",3.74888029751492e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b4",3.50318787749666e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b5",4.29466820904036e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b6",3.9060116202261e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b7",5.52201293082165e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b8",3.24472902243496e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b9",3.98919513223345e-05,10.2928868785518,0.299292429149342,"P13_F2_To_C01_Z10_01",1e-04,5.3e-12,"1e-04_5.3e-12"
