"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",5.90668759692434e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",9.06781402755021e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",3.76409916019649e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",3.76409916019649e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",3.68358366968848e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",8.6136114674424e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",6.5381687414355e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000109093217365011,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.2434965064284e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.02770850886644e-05,0.0189729303255191,0.143012551347314,"P14_B_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
