"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.00031500936271109,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000166607586403851,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",6.2881352486848e-05,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",6.2881352486848e-05,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",6.03201898706386e-05,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000149710282017229,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",9.56205553903256e-05,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000201321755884749,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",4.91398654664848e-05,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",0.000107116217904103,0.507455997073311,0.118373770279472,"P14_D2_To_C02_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
