"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000196980442676717,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b1",6.04917249045166e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.15477833003563e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.15477833003563e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.09590662135527e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b5",5.92484154289476e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b6",4.9271764469745e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b7",6.15836732225813e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.59381239599873e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
"b9",5.15988426488234e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",0.001,5.3e-12,"0.001_5.3e-12"
