"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000135519168860932,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b1",4.49290330344694e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b2",3.53636649427154e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b3",3.53636649427154e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b4",3.40815554714321e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b5",4.28634003207704e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b6",3.83924655776226e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b7",4.70339783120757e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b8",3.12066276286926e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
"b9",3.93853985409239e-05,9.72480805468384,0.345338048468442,"P14_F_To_C02_Z10_04",3e-04,5.3e-12,"3e-04_5.3e-12"
