"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
0,1,0,0,0,0,-0.0042,-0.0046,-0.196,0.068,0.196098954612206,0.4314,0.3922,0.1961,0.1586,1,"Tomato_60_5"
1,2,0,-0.0042,-0.0046,-0.196,-0.0099,-0.0044,-0.3959,0.068,0.199981349130363,0.4314,0.3922,0.1961,0.3209,1,"Tomato_60_5"
2,3,0,-0.0099,-0.0044,-0.3959,-0.0109,-0.0039,-0.4281,0.068,0.0322194040913236,0.4314,0.3922,0.1961,0.3471,1,"Tomato_60_5"
3,4,0,-0.0109,-0.0039,-0.4281,-0.0221,-0.0055,-0.6278,0.068,0.200020223977477,0.4314,0.3922,0.1961,0.5102,1,"Tomato_60_5"
4,5,0,-0.0221,-0.0055,-0.6278,-0.0224,-0.0058,-0.6372,0.068,0.00940956959695816,0.4314,0.3922,0.1961,0.5179,1,"Tomato_60_5"
5,6,0,-0.0224,-0.0058,-0.6372,-0.0141,-0.0146,-0.8368,0.068,0.199966222147642,0.4314,0.3922,0.1961,0.6816,1,"Tomato_60_5"
6,7,0,-0.0141,-0.0146,-0.8368,-0.0118,-0.0169,-0.8904,0.068,0.0536986033337926,0.4314,0.3922,0.1961,0.7257,1,"Tomato_60_5"
7,8,0,-0.0118,-0.0169,-0.8904,-4e-04,-0.0203,-1.0697,0.068,0.179694212483319,0.4314,0.3922,0.1961,0.8735,1,"Tomato_60_5"
8,9,0,-4e-04,-0.0203,-1.0697,0.0038,-0.0295,-1.2694,0.068,0.199955920142415,0.4314,0.3922,0.1961,1.0387,1,"Tomato_60_5"
9,10,0,0.0038,-0.0295,-1.2694,0.0039,-0.0296,-1.2732,0.068,0.00380263066836633,0.4314,0.3922,0.1961,1.0418,1,"Tomato_60_5"
10,11,0,0.0039,-0.0296,-1.2732,0.0157,-0.0322,-1.4515,0.068,0.178708953329149,0.4314,0.3922,0.1961,1.19,1,"Tomato_60_5"
11,12,0,0.0157,-0.0322,-1.4515,0.0268,-0.0321,-1.6368,0.068,0.185632190096438,0.4314,0.3922,0.1961,1.3445,1,"Tomato_60_5"
12,13,0,0.0268,-0.0321,-1.6368,0.0392,-0.019,-1.8032,0.068,0.167374818894599,0.4314,0.3922,0.1961,1.4843,1,"Tomato_60_5"
13,14,0,0.0392,-0.019,-1.8032,0.0532,-0.0164,-2.0027,0.068,0.200007524858441,0.4314,0.3922,0.1961,1.6519,1,"Tomato_60_5"
14,15,0,0.0532,-0.0164,-2.0027,0.0552,-0.0125,-2.06,0.068,0.0574673820527786,0.4314,0.3922,0.1961,1.7003,1,"Tomato_60_5"
15,16,0,0.0552,-0.0125,-2.06,0.0744,-1e-04,-2.2251,0.068,0.16667456314627,0.4314,0.3922,0.1961,1.8406,1,"Tomato_60_5"
16,17,0,0.0744,-1e-04,-2.2251,0.1021,0.0186,-2.4044,0.068,0.182388239752458,0.4314,0.3922,0.1961,1.9948,1,"Tomato_60_5"
17,18,0,0.1021,0.0186,-2.4044,0.0969,0.0235,-2.5647,0.068,0.160459153680929,0.4314,0.3922,0.1961,2.1309,1,"Tomato_60_5"
18,19,0,0.0969,0.0235,-2.5647,0.0935,0.0337,-2.7644,0.068,0.199989224709733,0.4314,0.3922,0.1961,2.3012,1,"Tomato_60_5"
19,20,0,0.0935,0.0337,-2.7644,0.0936,0.0339,-2.7684,0.068,0.00400624512480203,0.4314,0.3922,0.1961,2.3046,1,"Tomato_60_5"
20,21,0,0.0936,0.0339,-2.7684,0.0864,0.0432,-2.9622,0.068,0.194156560538139,0.4314,0.3922,0.1961,2.4707,1,"Tomato_60_5"
21,22,0,0.0864,0.0432,-2.9622,0.0855,0.0455,-3.1245,0.068,0.16231879127199,0.4314,0.3922,0.1961,2.61,1,"Tomato_60_5"
22,23,0,0.0855,0.0455,-3.1245,0.0833,0.0691,-3.2963,0.068,0.173427333485815,0.4314,0.3922,0.1961,2.7594,1,"Tomato_60_5"
23,24,0,0.0833,0.0691,-3.2963,0.0778,0.0944,-3.4947,0.068,0.200082233094295,0.4314,0.3922,0.1961,2.9323,1,"Tomato_60_5"
24,25,0,0.0778,0.0944,-3.4947,0.0775,0.0961,-3.5085,0.068,0.0139075519053501,0.4314,0.3922,0.1961,2.9444,1,"Tomato_60_5"
25,26,0,0.0775,0.0961,-3.5085,0.0786,0.1465,-3.7021,0.068,0.200055817211097,0.4314,0.3922,0.1961,3.1181,1,"Tomato_60_5"
26,27,0,0.0786,0.1465,-3.7021,0.0788,0.1497,-3.7159,0.068,0.0141675685987397,0.4314,0.3922,0.1961,3.1305,1,"Tomato_60_5"
27,28,0,0.0788,0.1497,-3.7159,0.0854,0.1773,-3.8289,0.068,0.116508883781452,0.4314,0.3922,0.1961,3.2321,1,"Tomato_60_5"
28,29,0,0.0854,0.1773,-3.8289,0.1115,0.2211,-4.0128,0.068,0.190837260512721,0.4314,0.3922,0.1961,3.3989,1,"Tomato_60_5"
29,30,0,0.1115,0.2211,-4.0128,0.1283,0.2511,-4.1615,0.068,0.152623490983531,0.4314,0.3922,0.1961,3.5329,1,"Tomato_60_5"
30,31,0,0.1283,0.2511,-4.1615,0.1314,0.281,-4.3592,0.068,0.199972273078045,0.4314,0.3922,0.1961,3.7091,1,"Tomato_60_5"
31,32,0,0.1314,0.281,-4.3592,0.1316,0.2828,-4.3782,0.068,0.019086120611585,0.4314,0.3922,0.1961,3.7259,1,"Tomato_60_5"
32,33,0,0.1316,0.2828,-4.3782,0.1376,0.274,-4.5779,0.068,0.199983824345871,0.4314,0.3922,0.1961,3.903,1,"Tomato_60_5"
33,34,0,0.1376,0.274,-4.5779,0.1377,0.2739,-4.5793,0.068,0.00140712472794732,0.4314,0.3922,0.1961,3.9042,1,"Tomato_60_5"
34,35,0,0.1377,0.2739,-4.5793,0.1448,0.2739,-4.6986,0.068,0.11951108735176,0.4314,0.3922,0.1961,4.0103,1,"Tomato_60_5"
35,36,0,0.1448,0.2739,-4.6986,0.1452,0.2795,-4.8949,0.068,0.196380268866299,0.4314,0.3922,0.1961,4.1854,1,"Tomato_60_5"
36,37,0,0.1452,0.2795,-4.8949,0.17,0.2748,-5.0933,0.068,0.199999224998499,0.4314,0.3922,0.1961,4.3645,1,"Tomato_60_5"
37,38,0,0.17,0.2748,-5.0933,0.174,0.2759,-5.1251,0.068,0.0320694558731509,0.4314,0.3922,0.1961,4.3932,1,"Tomato_60_5"
38,39,0,0.174,0.2759,-5.1251,0.1733,0.2977,-5.2928,0.068,0.169112447797316,0.4314,0.3922,0.1961,4.5453,1,"Tomato_60_5"
39,40,0,0.1733,0.2977,-5.2928,0.1787,0.3062,-5.4926,0.068,0.200053617812826,0.4314,0.3922,0.1961,4.7259,1,"Tomato_60_5"
40,41,0,0.1787,0.3062,-5.4926,0.1794,0.3065,-5.5066,0.068,0.0140206989840015,0.4314,0.3922,0.1961,4.7386,1,"Tomato_60_5"
41,42,0,0.1794,0.3065,-5.5066,0.1859,0.3214,-5.676,0.068,0.170178200719129,0.4314,0.3922,0.1961,4.8929,1,"Tomato_60_5"
42,43,0,0.1859,0.3214,-5.676,0.1976,0.3218,-5.8546,0.068,0.178983267374355,0.4314,0.3922,0.1961,5.0559,1,"Tomato_60_5"
43,44,0,0.1976,0.3218,-5.8546,0.2104,0.3209,-6.0254,0.068,0.171281318304129,0.4314,0.3922,0.1961,5.2124,1,"Tomato_60_5"
44,45,0,0.2104,0.3209,-6.0254,0.2006,0.3397,-6.2242,0.068,0.199927286781969,0.4314,0.3922,0.1961,5.396,1,"Tomato_60_5"
45,46,0,0.2006,0.3397,-6.2242,0.1998,0.341,-6.2455,0.068,0.0213546247918338,0.4314,0.3922,0.1961,5.4156,1,"Tomato_60_5"
46,47,0,0.1998,0.341,-6.2455,0.1958,0.3431,-6.3976,0.068,0.152167079225436,0.4314,0.3922,0.1961,5.5558,1,"Tomato_60_5"
47,48,0,0.1958,0.3431,-6.3976,0.1885,0.3369,-6.5974,0.068,0.200029422835742,0.4314,0.3922,0.1961,5.7409,1,"Tomato_60_5"
48,49,0,0.1885,0.3369,-6.5974,0.1879,0.3346,-6.6609,0.068,0.0635444726156408,0.4314,0.3922,0.1961,5.7999,1,"Tomato_60_5"
49,50,0,0.1879,0.3346,-6.6609,0.1884,0.3261,-6.8598,0.068,0.19908216896548,0.4314,0.3922,0.1961,5.9853,1,"Tomato_60_5"
50,51,0,0.1884,0.3261,-6.8598,0.1895,0.3144,-7.0595,0.068,0.200045469831236,0.4314,0.3922,0.1961,6.1723,1,"Tomato_60_5"
51,52,0,0.1895,0.3144,-7.0595,0.1881,0.3179,-7.1039,0.068,0.0445597351877235,0.4314,0.3922,0.1961,6.2141,1,"Tomato_60_5"
52,53,0,0.1881,0.3179,-7.1039,0.166,0.2937,-7.3012,0.068,0.200003349971944,0.4314,0.3922,0.1961,6.4021,1,"Tomato_60_5"
53,54,0,0.166,0.2937,-7.3012,0.1657,0.2914,-7.3353,0.068,0.0341787945954803,0.4314,0.3922,0.1961,6.4344,1,"Tomato_60_5"
54,55,0,0.1657,0.2914,-7.3353,0.1701,0.2771,-7.5348,0.068,0.200060240927576,0.4314,0.3922,0.1961,6.6235,1,"Tomato_60_5"
55,56,0,0.1701,0.2771,-7.5348,0.1709,0.2768,-7.5474,0.068,0.0126289350303182,0.4314,0.3922,0.1961,6.6355,1,"Tomato_60_5"
56,57,0,0.1709,0.2768,-7.5474,0.1746,0.2755,-7.7474,0.068,0.200038446304704,0.4314,0.3922,0.1961,6.8255,1,"Tomato_60_5"
57,58,0,0.1746,0.2755,-7.7474,0.1756,0.2755,-7.7688,0.068,0.0214233517452334,0.4314,0.3922,0.1961,6.846,1,"Tomato_60_5"
58,59,0,0.1756,0.2755,-7.7688,0.167,0.27,-7.9686,0.068,0.200060615814308,0.4314,0.3922,0.1961,7.037,1,"Tomato_60_5"
59,60,0,0.167,0.27,-7.9686,0.1622,0.2684,-8.0276,0.068,0.0592165517402011,0.4314,0.3922,0.1961,7.0937,1,"Tomato_60_5"
60,61,0,0.1622,0.2684,-8.0276,0.135,0.2806,-8.2254,0.068,0.200033797144383,0.4314,0.3922,0.1961,7.2858,1,"Tomato_60_5"
61,62,0,0.135,0.2806,-8.2254,0.1298,0.2828,-8.2614,0.068,0.036440087815481,0.4314,0.3922,0.1961,7.321,1,"Tomato_60_5"
62,63,0,0.1298,0.2828,-8.2614,0.1028,0.2872,-8.4595,0.068,0.199979923992385,0.4314,0.3922,0.1961,7.5142,1,"Tomato_60_5"
63,64,0,0.1028,0.2872,-8.4595,0.1014,0.2884,-8.4758,0.068,0.0164039629358267,0.4314,0.3922,0.1961,7.53,1,"Tomato_60_5"
64,65,0,0.1014,0.2884,-8.4758,0.1036,0.2987,-8.6616,0.068,0.186098280486414,0.4314,0.3922,0.1961,7.7107,1,"Tomato_60_5"
65,66,0,0.1036,0.2987,-8.6616,0.0904,0.3074,-8.861,0.068,0.200025723345774,0.4314,0.3922,0.1961,7.9057,1,"Tomato_60_5"
66,67,0,0.0904,0.3074,-8.861,0.0895,0.3077,-8.8875,0.068,0.0265169756948248,0.4314,0.3922,0.1961,7.9317,1,"Tomato_60_5"
67,68,0,0.0895,0.3077,-8.8875,0.0917,0.2919,-9.0826,0.068,0.195751091950977,0.4314,0.3922,0.1961,8.1236,1,"Tomato_60_5"
68,69,0,0.0917,0.2919,-9.0826,0.0953,0.2678,-9.2623,0.068,0.181344589111449,0.4314,0.3922,0.1961,8.3022,1,"Tomato_60_5"
69,70,0,0.0953,0.2678,-9.2623,0.1023,0.2436,-9.4607,0.068,0.199992999877495,0.4314,0.3922,0.1961,8.5,1,"Tomato_60_5"
70,71,0,0.1023,0.2436,-9.4607,0.1026,0.2413,-9.4914,0.068,0.0307874974624453,0.4314,0.3922,0.1961,8.5306,1,"Tomato_60_5"
71,72,0,0.1026,0.2413,-9.4914,0.1053,0.2101,-9.689,0.068,0.200066214039252,0.4314,0.3922,0.1961,8.7295,1,"Tomato_60_5"
72,73,0,0.1053,0.2101,-9.689,0.1044,0.1983,-9.7612,0.068,0.0731634471577172,0.4314,0.3922,0.1961,8.8026,1,"Tomato_60_5"
73,74,0,0.1044,0.1983,-9.7612,0.0957,0.1662,-9.9584,0.068,0.199984849426149,0.4314,0.3922,0.1961,9.0029,1,"Tomato_60_5"
74,75,0,0.0957,0.1662,-9.9584,0.0941,0.161,-9.992,0.068,0.0340376262392093,0.4314,0.3922,0.1961,9.037,1,"Tomato_60_5"
75,76,0,0.0941,0.161,-9.992,0.08,0.1861,-10.1886,0.068,0.19869670354588,0.4314,0.3922,0.1961,9.2372,1,"Tomato_60_5"
76,77,0,0.08,0.1861,-10.1886,0.0584,0.1976,-10.3871,0.068,0.200002649982445,0.4314,0.3922,0.1961,9.4396,1,"Tomato_60_5"
77,78,0,0.0584,0.1976,-10.3871,0.0562,0.1991,-10.406,0.068,0.0190866445453362,0.4314,0.3922,0.1961,9.459,1,"Tomato_60_5"
78,79,0,0.0562,0.1991,-10.406,0.0394,0.2204,-10.6042,0.068,0.200047919259361,0.4314,0.3922,0.1961,9.6625,1,"Tomato_60_5"
79,80,0,0.0394,0.2204,-10.6042,0.0393,0.2205,-10.6053,0.068,0.00110905365064016,0.4314,0.3922,0.1961,9.6636,1,"Tomato_60_5"
80,81,0,0.0393,0.2205,-10.6053,0.0256,0.2507,-10.8026,0.068,0.200067538596345,0.4314,0.3922,0.1961,9.8682,1,"Tomato_60_5"
81,82,0,0.0256,0.2507,-10.8026,0.0243,0.2545,-10.8271,0.068,0.0248270014298946,0.4314,0.3922,0.1961,9.8936,1,"Tomato_60_5"
82,83,0,0.0243,0.2545,-10.8271,0.0332,0.2522,-11.0268,0.068,0.199911455399634,0.4314,0.3922,0.1961,10.0993,1,"Tomato_60_5"
83,84,0,0.0332,0.2522,-11.0268,0.0338,0.2522,-11.0399,0.068,0.0131137332594495,0.4314,0.3922,0.1961,10.1128,1,"Tomato_60_5"
84,85,0,0.0338,0.2522,-11.0399,0.0432,0.2692,-11.239,0.068,0.200045419842596,0.4314,0.3922,0.1961,10.3195,1,"Tomato_60_5"
85,86,0,0.0432,0.2692,-11.239,0.0459,0.272,-11.2765,0.068,0.0377011936150565,0.4314,0.3922,0.1961,10.3586,1,"Tomato_60_5"
86,87,0,0.0459,0.272,-11.2765,0.0484,0.2877,-11.4543,0.068,0.178509327487389,0.4314,0.3922,0.1961,10.5443,1,"Tomato_60_5"
87,88,0,0.0484,0.2877,-11.4543,0.0191,0.2915,-11.6521,0.068,0.199994424922297,0.4314,0.3922,0.1961,10.7532,1,"Tomato_60_5"
88,89,0,0.0191,0.2915,-11.6521,0.0142,0.2939,-11.708,0.068,0.0561656478641521,0.4314,0.3922,0.1961,10.812,1,"Tomato_60_5"
89,90,0,0.0142,0.2939,-11.708,-3e-04,0.2941,-11.8508,0.068,0.143534420958876,0.4314,0.3922,0.1961,10.9628,1,"Tomato_60_5"
90,91,0,-3e-04,0.2941,-11.8508,0.0237,0.3113,-12.0441,0.068,0.195542143795143,0.4314,0.3922,0.1961,11.1692,1,"Tomato_60_5"
91,92,0,0.0237,0.3113,-12.0441,0.049,0.3271,-12.2419,0.068,0.200036421683651,0.4314,0.3922,0.1961,11.3814,1,"Tomato_60_5"
92,93,0,0.049,0.3271,-12.2419,0.0492,0.3273,-12.244,0.068,0.00211896201004214,0.4314,0.3922,0.1961,11.3836,1,"Tomato_60_5"
93,94,0,0.0492,0.3273,-12.244,0.0509,0.3406,-12.4267,0.068,0.183191348048974,0.4314,0.3922,0.1961,11.5789,1,"Tomato_60_5"
1,95,1,0,0,0,0.1574,-0.095,-0.0786,0.0526,0.199944292241614,0.4314,0.3922,0.1961,11.6648,2,"Tomato_60_5"
95,96,1,0.1574,-0.095,-0.0786,0.3214,-0.1718,-0.1637,0.0526,0.200090604477072,0.4314,0.3922,0.1961,11.7617,2,"Tomato_60_5"
94,97,0,0.0509,0.3406,-12.4267,0.0527,0.3555,-12.6261,0.068,0.199964021763915,0.4314,0.3922,0.1961,11.7931,1,"Tomato_60_5"
95,98,0,0.0527,0.3555,-12.6261,0.052,0.3569,-12.6506,0.068,0.0245499490834518,0.4314,0.3922,0.1961,11.8194,1,"Tomato_60_5"
96,99,1,0.3214,-0.1718,-0.1637,0.4973,-0.2244,-0.243,0.0526,0.199990149757432,0.4314,0.3922,0.1961,11.8592,2,"Tomato_60_5"
2,100,2,-0.0042,-0.0046,-0.196,-0.1523,0.1108,-0.265,0.0724,0.200029422835742,0.4314,0.3922,0.1961,11.874,2,"Tomato_60_5"
99,101,1,0.4973,-0.2244,-0.243,0.6753,-0.2795,-0.3157,0.0526,0.200013249561123,0.4314,0.3922,0.1961,11.9571,2,"Tomato_60_5"
100,102,2,-0.1523,0.1108,-0.265,-0.2686,0.243,-0.3599,0.0724,0.200021348860565,0.4314,0.3922,0.1961,11.9701,2,"Tomato_60_5"
96,103,0,0.052,0.3569,-12.6506,0.0239,0.3806,-12.8471,0.068,0.199908854231121,0.4314,0.3922,0.1961,12.035,1,"Tomato_60_5"
97,104,0,0.0239,0.3806,-12.8471,0.0223,0.3825,-12.8661,0.068,0.019161680510853,0.4314,0.3922,0.1961,12.0556,1,"Tomato_60_5"
101,105,1,0.6753,-0.2795,-0.3157,0.846,-0.3356,-0.4034,0.0526,0.199942466724806,0.4314,0.3922,0.1961,12.0556,2,"Tomato_60_5"
102,106,2,-0.2686,0.243,-0.3599,-0.3792,0.3673,-0.4708,0.0724,0.199954144743239,0.4314,0.3922,0.1961,12.0667,2,"Tomato_60_5"
4,107,3,-0.0109,-0.0039,-0.4281,0.0758,-0.1692,-0.5,0.0704,0.200026473247918,0.4314,0.3922,0.1961,12.1345,2,"Tomato_60_5"
105,108,1,0.846,-0.3356,-0.4034,1.0075,-0.3921,-0.507,0.0526,0.200018649130525,0.4314,0.3922,0.1961,12.1547,2,"Tomato_60_5"
106,109,2,-0.3792,0.3673,-0.4708,-0.4782,0.4883,-0.5955,0.0724,0.199980224022277,0.4314,0.3922,0.1961,12.1638,2,"Tomato_60_5"
107,110,3,0.0758,-0.1692,-0.5,0.1785,-0.3148,-0.5909,0.0704,0.200023648601859,0.4314,0.3922,0.1961,12.2411,2,"Tomato_60_5"
98,111,0,0.0223,0.3825,-12.8661,0.006,0.3937,-13.0445,0.068,0.179492868939131,0.4314,0.3922,0.1961,12.2502,1,"Tomato_60_5"
108,112,1,1.0075,-0.3921,-0.507,1.166,-0.476,-0.5956,0.0526,0.200028547962534,0.4314,0.3922,0.1961,12.2543,2,"Tomato_60_5"
109,113,2,-0.4782,0.4883,-0.5955,-0.5798,0.6144,-0.7129,0.0724,0.20001632433379,0.4314,0.3922,0.1961,12.2614,2,"Tomato_60_5"
110,114,3,0.1785,-0.3148,-0.5909,0.2787,-0.4673,-0.6728,0.0704,0.200009749762355,0.4314,0.3922,0.1961,12.3485,2,"Tomato_60_5"
112,115,1,1.166,-0.476,-0.5956,1.306,-0.5671,-0.7055,0.0526,0.199943041889434,0.4314,0.3922,0.1961,12.3544,2,"Tomato_60_5"
