"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type",
0,1,0,0.0000,0.0000,-3.0000,0.0066,-0.0078,-3.1751,0.1791,0.1754,0.4314,0.3922,0.1961,0.1383,1.0000,
1,2,0,0.0066,-0.0078,-3.1751,0.0047,-0.0036,-3.3398,0.1791,0.1648,0.4314,0.3922,0.1961,0.2685,1.0000,
2,3,0,0.0047,-0.0036,-3.3398,0.0022,0.0019,-3.5397,0.1791,0.2000,0.4314,0.3922,0.1961,0.4271,1.0000,
3,4,0,0.0022,0.0019,-3.5397,0.0024,0.0027,-3.5735,0.1791,0.0339,0.4314,0.3922,0.1961,0.4540,1.0000,
4,5,0,0.0024,0.0027,-3.5735,-0.0033,0.0028,-3.7597,0.1791,0.1862,0.4314,0.3922,0.1961,0.6022,1.0000,
5,6,0,-0.0033,0.0028,-3.7597,-0.0113,0.0018,-3.9595,0.1791,0.2000,0.4314,0.3922,0.1961,0.7618,1.0000,
6,7,0,-0.0113,0.0018,-3.9595,-0.0172,-0.0028,-4.0153,0.1791,0.0563,0.4314,0.3922,0.1961,0.8068,1.0000,
7,8,0,-0.0172,-0.0028,-4.0153,-0.0565,-0.0171,-4.2109,0.1791,0.2000,0.4314,0.3922,0.1961,0.9670,1.0000,
8,9,0,-0.0565,-0.0171,-4.2109,-0.0646,-0.0234,-4.2751,0.1791,0.0650,0.4314,0.3922,0.1961,1.0192,1.0000,
9,10,0,-0.0646,-0.0234,-4.2751,-0.0876,-0.0424,-4.4728,0.1791,0.2000,0.4314,0.3922,0.1961,1.1801,1.0000,
10,11,0,-0.0876,-0.0424,-4.4728,-0.1001,-0.0537,-4.5831,0.1791,0.1115,0.4314,0.3922,0.1961,1.2701,1.0000,
11,12,0,-0.1001,-0.0537,-4.5831,-0.1145,-0.0763,-4.7813,0.1791,0.2000,0.4314,0.3922,0.1961,1.4318,1.0000,
12,13,0,-0.1145,-0.0763,-4.7813,-0.1195,-0.0802,-4.8336,0.1791,0.0527,0.4314,0.3922,0.1961,1.4745,1.0000,
13,14,0,-0.1195,-0.0802,-4.8336,-0.1316,-0.0906,-4.9653,0.1791,0.1327,0.4314,0.3922,0.1961,1.5821,1.0000,
14,15,0,-0.1316,-0.0906,-4.9653,-0.1136,-0.0972,-5.1562,0.1791,0.1919,0.4314,0.3922,0.1961,1.7382,1.0000,
15,16,0,-0.1136,-0.0972,-5.1562,-0.1068,-0.0897,-5.3027,0.1791,0.1469,0.4314,0.3922,0.1961,1.8580,1.0000,
16,17,0,-0.1068,-0.0897,-5.3027,-0.0963,-0.0854,-5.5024,0.1791,0.2000,0.4314,0.3922,0.1961,2.0216,1.0000,
17,18,0,-0.0963,-0.0854,-5.5024,-0.0934,-0.0871,-5.5672,0.1791,0.0649,0.4314,0.3922,0.1961,2.0747,1.0000,
18,19,0,-0.0934,-0.0871,-5.5672,-0.0600,-0.0978,-5.7641,0.1791,0.2000,0.4314,0.3922,0.1961,2.2390,1.0000,
19,20,0,-0.0600,-0.0978,-5.7641,-0.0515,-0.1037,-5.8211,0.1791,0.0580,0.4314,0.3922,0.1961,2.2867,1.0000,
20,21,0,-0.0515,-0.1037,-5.8211,-0.0422,-0.1105,-5.8872,0.1791,0.0671,0.4314,0.3922,0.1961,2.3420,1.0000,
21,22,0,-0.0422,-0.1105,-5.8872,-0.0192,-0.1197,-6.0856,0.1791,0.2000,0.4314,0.3922,0.1961,2.5072,1.0000,
22,23,0,-0.0192,-0.1197,-6.0856,-0.0159,-0.1214,-6.1160,0.1791,0.0306,0.4314,0.3922,0.1961,2.5325,1.0000,
23,24,0,-0.0159,-0.1214,-6.1160,-0.0145,-0.1301,-6.2845,0.1791,0.1687,0.4314,0.3922,0.1961,2.6723,1.0000,
24,25,0,-0.0145,-0.1301,-6.2845,-0.0107,-0.1428,-6.4840,0.1791,0.2000,0.4314,0.3922,0.1961,2.8385,1.0000,
25,26,0,-0.0107,-0.1428,-6.4840,-0.0109,-0.1436,-6.5094,0.1791,0.0254,0.4314,0.3922,0.1961,2.8596,1.0000,
26,27,0,-0.0109,-0.1436,-6.5094,-0.0183,-0.1450,-6.7093,0.1791,0.2000,0.4314,0.3922,0.1961,3.0265,1.0000,
27,28,0,-0.0183,-0.1450,-6.7093,-0.0188,-0.1467,-6.7498,0.1791,0.0405,0.4314,0.3922,0.1961,3.0604,1.0000,
28,29,0,-0.0188,-0.1467,-6.7498,-0.0196,-0.1556,-6.8283,0.1791,0.0791,0.4314,0.3922,0.1961,3.1265,1.0000,
29,30,0,-0.0196,-0.1556,-6.8283,-0.0202,-0.1659,-7.0281,0.1791,0.2000,0.4314,0.3922,0.1961,3.2942,1.0000,
30,31,0,-0.0202,-0.1659,-7.0281,-0.0158,-0.1832,-7.1643,0.1791,0.1374,0.4314,0.3922,0.1961,3.4098,1.0000,
31,32,0,-0.0158,-0.1832,-7.1643,-0.0241,-0.2091,-7.3625,0.1791,0.2000,0.4314,0.3922,0.1961,3.5785,1.0000,
32,33,0,-0.0241,-0.2091,-7.3625,-0.0238,-0.2122,-7.3933,0.1791,0.0310,0.4314,0.3922,0.1961,3.6046,1.0000,
33,34,0,-0.0238,-0.2122,-7.3933,-0.0117,-0.2063,-7.5286,0.1791,0.1360,0.4314,0.3922,0.1961,3.7197,1.0000,
34,35,0,-0.0117,-0.2063,-7.5286,0.0063,-0.1978,-7.7276,0.1791,0.2000,0.4314,0.3922,0.1961,3.8894,1.0000,
35,36,0,0.0063,-0.1978,-7.7276,0.0052,-0.2010,-7.7819,0.1791,0.0544,0.4314,0.3922,0.1961,3.9356,1.0000,
36,37,0,0.0052,-0.2010,-7.7819,0.0009,-0.2137,-7.9814,0.1791,0.2000,0.4314,0.3922,0.1961,4.1060,1.0000,
37,38,0,0.0009,-0.2137,-7.9814,0.0008,-0.2140,-7.9857,0.1791,0.0043,0.4314,0.3922,0.1961,4.1097,1.0000,
38,39,0,0.0008,-0.2140,-7.9857,-0.0136,-0.2215,-8.1639,0.1791,0.1789,0.4314,0.3922,0.1961,4.2626,1.0000,
39,40,0,-0.0136,-0.2215,-8.1639,0.0063,-0.2246,-8.3629,0.1791,0.2000,0.4314,0.3922,0.1961,4.4341,1.0000,
40,41,0,0.0063,-0.2246,-8.3629,0.0092,-0.2238,-8.3877,0.1791,0.0250,0.4314,0.3922,0.1961,4.4556,1.0000,
41,42,0,0.0092,-0.2238,-8.3877,0.0318,-0.2178,-8.5864,0.1791,0.2000,0.4314,0.3922,0.1961,4.6278,1.0000,
42,43,0,0.0318,-0.2178,-8.5864,0.0324,-0.2178,-8.5918,0.1791,0.0055,0.4314,0.3922,0.1961,4.6325,1.0000,
43,44,0,0.0324,-0.2178,-8.5918,0.0503,-0.2097,-8.7908,0.1791,0.2000,0.4314,0.3922,0.1961,4.8053,1.0000,
44,45,0,0.0503,-0.2097,-8.7908,0.0621,-0.2097,-8.9096,0.1791,0.1194,0.4314,0.3922,0.1961,4.9087,1.0000,
45,46,0,0.0621,-0.2097,-8.9096,0.0615,-0.2027,-9.1095,0.1791,0.2000,0.4314,0.3922,0.1961,5.0824,1.0000,
46,47,0,0.0615,-0.2027,-9.1095,0.0614,-0.2007,-9.1691,0.1791,0.0596,0.4314,0.3922,0.1961,5.1343,1.0000,
