"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","z3"
0,1,0,0,0,-3,-0.0016,1e-04,-3.2,0.0662,0.2,0.4314,0.3922,0.1961,0.1379,1,-32.4123
1,2,0,-0.0016,1e-04,-3.2,-6e-04,0.0104,-3.3783,0.0662,0.1786,0.4314,0.3922,0.1961,0.2616,1,-32.234
2,3,0,-6e-04,0.0104,-3.3783,-0.0052,0.0053,-3.5782,0.0662,0.2,0.4314,0.3922,0.1961,0.4005,1,-32.0341
3,4,0,-0.0052,0.0053,-3.5782,0.0108,0.012,-3.7612,0.0662,0.1838,0.4314,0.3922,0.1961,0.5287,1,-31.8511
4,5,0,0.0108,0.012,-3.7612,0.0241,0.024,-3.9603,0.0662,0.2,0.4314,0.3922,0.1961,0.6687,1,-31.652
5,6,0,0.0241,0.024,-3.9603,0.0267,0.0056,-4.1595,0.0662,0.2,0.4314,0.3922,0.1961,0.8092,1,-31.4528
6,7,0,0.0267,0.0056,-4.1595,0.0273,0.0047,-4.1704,0.0662,0.011,0.4314,0.3922,0.1961,0.8169,1,-31.4419
7,8,0,0.0273,0.0047,-4.1704,0.0683,-0.0135,-4.3654,0.0662,0.2,0.4314,0.3922,0.1961,0.958,1,-31.2469
8,9,0,0.0683,-0.0135,-4.3654,0.1125,-0.035,-4.5482,0.0662,0.1894,0.4314,0.3922,0.1961,1.0921,1,-31.0641
9,10,0,0.1125,-0.035,-4.5482,0.1397,-0.0871,-4.7394,0.0662,0.2,0.4314,0.3922,0.1961,1.2343,1,-30.8729
10,11,0,0.1397,-0.0871,-4.7394,0.1429,-0.1389,-4.9305,0.0662,0.198,0.4314,0.3922,0.1961,1.3757,1,-30.6818
11,12,0,0.1429,-0.1389,-4.9305,0.1155,-0.1421,-5.1286,0.0662,0.2,0.4314,0.3922,0.1961,1.519,1,-30.4837
12,13,0,0.1155,-0.1421,-5.1286,0.1032,-0.1695,-5.3168,0.0662,0.1906,0.4314,0.3922,0.1961,1.6561,1,-30.2955
13,14,0,0.1032,-0.1695,-5.3168,0.0917,-0.162,-5.5163,0.0662,0.2,0.4314,0.3922,0.1961,1.8005,1,-30.096
14,15,0,0.0917,-0.162,-5.5163,0.0834,-0.1531,-5.7159,0.0662,0.2,0.4314,0.3922,0.1961,1.9455,1,-29.8964
15,16,0,0.0834,-0.1531,-5.7159,0.0827,-0.1522,-5.7362,0.0662,0.0202,0.4314,0.3922,0.1961,1.9602,1,-29.8761
