node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -0.0000 -0.0006 -0.0030 -0.2000 0.0645 0.2000 0.4314 0.3922 0.1961 0.1312 1.0000 
1 2 0 -0.0006 -0.0030 -0.2000 -0.0023 -0.0020 -0.2636 0.0645 0.0636 0.4314 0.3922 0.1961 0.1730 1.0000 
2 3 0 -0.0023 -0.0020 -0.2636 -0.0149 0.0020 -0.4193 0.0645 0.1563 0.4314 0.3922 0.1961 0.2760 1.0000 
3 4 0 -0.0149 0.0020 -0.4193 -0.0182 0.0014 -0.5182 0.0645 0.0989 0.4314 0.3922 0.1961 0.3414 1.0000 
4 5 0 -0.0182 0.0014 -0.5182 -0.0326 -0.0012 -0.7176 0.0645 0.2000 0.4314 0.3922 0.1961 0.4739 1.0000 
5 6 0 -0.0326 -0.0012 -0.7176 -0.0347 -0.0024 -0.7518 0.0645 0.0343 0.4314 0.3922 0.1961 0.4967 1.0000 
6 7 0 -0.0347 -0.0024 -0.7518 -0.0537 0.0000 -0.9509 0.0645 0.2000 0.4314 0.3922 0.1961 0.6298 1.0000 
7 8 0 -0.0537 0.0000 -0.9509 -0.0589 0.0000 -1.0036 0.0645 0.0529 0.4314 0.3922 0.1961 0.6652 1.0000 
8 9 0 -0.0589 0.0000 -1.0036 -0.0742 -0.0023 -1.1614 0.0645 0.1586 0.4314 0.3922 0.1961 0.7713 1.0000 
9 10 0 -0.0742 -0.0023 -1.1614 -0.0756 -0.0046 -1.1956 0.0645 0.0342 0.4314 0.3922 0.1961 0.7942 1.0000 
10 11 0 -0.0756 -0.0046 -1.1956 -0.0908 0.0118 -1.3943 0.0645 0.2000 0.4314 0.3922 0.1961 0.9285 1.0000 
11 12 0 -0.0908 0.0118 -1.3943 -0.0936 0.0152 -1.4365 0.0645 0.0424 0.4314 0.3922 0.1961 0.9571 1.0000 
12 13 0 -0.0936 0.0152 -1.4365 -0.1002 0.0061 -1.6362 0.0645 0.2000 0.4314 0.3922 0.1961 1.0921 1.0000 
13 14 0 -0.1002 0.0061 -1.6362 -0.1010 0.0055 -1.6498 0.0645 0.0136 0.4314 0.3922 0.1961 1.1013 1.0000 
14 15 0 -0.1010 0.0055 -1.6498 -0.1169 -0.0135 -1.8482 0.0645 0.2000 0.4314 0.3922 0.1961 1.2368 1.0000 
15 16 0 -0.1169 -0.0135 -1.8482 -0.1169 -0.0136 -1.8487 0.0645 0.0004 0.4314 0.3922 0.1961 1.2371 1.0000 
16 17 0 -0.1169 -0.0136 -1.8487 -0.1354 -0.0225 -1.9880 0.0645 0.1408 0.4314 0.3922 0.1961 1.3329 1.0000 
17 18 0 -0.1354 -0.0225 -1.9880 -0.1637 -0.0232 -2.1673 0.0645 0.1816 0.4314 0.3922 0.1961 1.4568 1.0000 
18 19 0 -0.1637 -0.0232 -2.1673 -0.1783 -0.0310 -2.3172 0.0645 0.1508 0.4314 0.3922 0.1961 1.5600 1.0000 
19 20 0 -0.1783 -0.0310 -2.3172 -0.1655 -0.0372 -2.5167 0.0645 0.2000 0.4314 0.3922 0.1961 1.6974 1.0000 
20 21 0 -0.1655 -0.0372 -2.5167 -0.1630 -0.0384 -2.5551 0.0645 0.0386 0.4314 0.3922 0.1961 1.7240 1.0000 
21 22 0 -0.1630 -0.0384 -2.5551 -0.1623 -0.0506 -2.6678 0.0645 0.1134 0.4314 0.3922 0.1961 1.8022 1.0000 
22 23 0 -0.1623 -0.0506 -2.6678 -0.1631 -0.0601 -2.8676 0.0645 0.2000 0.4314 0.3922 0.1961 1.9406 1.0000 
23 24 0 -0.1631 -0.0601 -2.8676 -0.1631 -0.0609 -2.8851 0.0645 0.0175 0.4314 0.3922 0.1961 1.9527 1.0000 
24 25 0 -0.1631 -0.0609 -2.8851 -0.1640 -0.0708 -3.0848 0.0645 0.2000 0.4314 0.3922 0.1961 2.0918 1.0000 
25 26 0 -0.1640 -0.0708 -3.0848 -0.1612 -0.0721 -3.1576 0.0645 0.0728 0.4314 0.3922 0.1961 2.1426 1.0000 
26 27 0 -0.1612 -0.0721 -3.1576 -0.1533 -0.0756 -3.2972 0.0645 0.1399 0.4314 0.3922 0.1961 2.2403 1.0000 
27 28 0 -0.1533 -0.0756 -3.2972 -0.1391 -0.0898 -3.4962 0.0645 0.2000 0.4314 0.3922 0.1961 2.3805 1.0000 
28 29 0 -0.1391 -0.0898 -3.4962 -0.1388 -0.0936 -3.5529 0.0645 0.0568 0.4314 0.3922 0.1961 2.4204 1.0000 
29 30 0 -0.1388 -0.0936 -3.5529 -0.1386 -0.0966 -3.6047 0.0645 0.0520 0.4314 0.3922 0.1961 2.4570 1.0000 
30 31 0 -0.1386 -0.0966 -3.6047 -0.1383 -0.1032 -3.8046 0.0645 0.2000 0.4314 0.3922 0.1961 2.5981 1.0000 
31 32 0 -0.1383 -0.1032 -3.8046 -0.1380 -0.1035 -3.8203 0.0645 0.0157 0.4314 0.3922 0.1961 2.6093 1.0000 
32 33 0 -0.1380 -0.1035 -3.8203 -0.1330 -0.0993 -3.9906 0.0645 0.1704 0.4314 0.3922 0.1961 2.7300 1.0000 
33 34 0 -0.1330 -0.0993 -3.9906 -0.1294 -0.0862 -4.1716 0.0645 0.1816 0.4314 0.3922 0.1961 2.8591 1.0000 
34 35 0 -0.1294 -0.0862 -4.1716 -0.1182 -0.0673 -4.3240 0.0645 0.1539 0.4314 0.3922 0.1961 2.9690 1.0000 
35 36 0 -0.1182 -0.0673 -4.3240 -0.0976 -0.0446 -4.5216 0.0645 0.2000 0.4314 0.3922 0.1961 3.1123 1.0000 
36 37 0 -0.0976 -0.0446 -4.5216 -0.0906 -0.0350 -4.5887 0.0645 0.0681 0.4314 0.3922 0.1961 3.1612 1.0000 
37 38 0 -0.0906 -0.0350 -4.5887 -0.0782 -0.0038 -4.7858 0.0645 0.2000 0.4314 0.3922 0.1961 3.3054 1.0000 
38 39 0 -0.0782 -0.0038 -4.7858 -0.0768 -0.0004 -4.8177 0.0645 0.0321 0.4314 0.3922 0.1961 3.3286 1.0000 
39 40 0 -0.0768 -0.0004 -4.8177 -0.0696 0.0188 -5.0167 0.0645 0.2000 0.4314 0.3922 0.1961 3.4734 1.0000 
40 41 0 -0.0696 0.0188 -5.0167 -0.0649 0.0296 -5.1313 0.0645 0.1152 0.4314 0.3922 0.1961 3.5571 1.0000 
41 42 0 -0.0649 0.0296 -5.1313 -0.0882 0.0229 -5.3298 0.0645 0.2000 0.4314 0.3922 0.1961 3.7030 1.0000 
42 43 0 -0.0882 0.0229 -5.3298 -0.0905 0.0222 -5.3677 0.0645 0.0380 0.4314 0.3922 0.1961 3.7308 1.0000 
43 44 0 -0.0905 0.0222 -5.3677 -0.0778 -0.0001 -5.5489 0.0645 0.1829 0.4314 0.3922 0.1961 3.8648 1.0000 
44 45 0 -0.0778 -0.0001 -5.5489 -0.0559 -0.0047 -5.7214 0.0645 0.1740 0.4314 0.3922 0.1961 3.9928 1.0000 
45 46 0 -0.0559 -0.0047 -5.7214 -0.0384 -0.0250 -5.8986 0.0645 0.1792 0.4314 0.3922 0.1961 4.1252 1.0000 
46 47 0 -0.0384 -0.0250 -5.8986 -0.0215 -0.0541 -6.0958 0.0645 0.2000 0.4314 0.3922 0.1961 4.2735 1.0000 
47 48 0 -0.0215 -0.0541 -6.0958 -0.0172 -0.0627 -6.1826 0.0645 0.0874 0.4314 0.3922 0.1961 4.3385 1.0000 
48 49 0 -0.0172 -0.0627 -6.1826 -0.0177 -0.0761 -6.3821 0.0645 0.2000 0.4314 0.3922 0.1961 4.4877 1.0000 
49 50 0 -0.0177 -0.0761 -6.3821 -0.0177 -0.0768 -6.3938 0.0645 0.0117 0.4314 0.3922 0.1961 4.4965 1.0000 
50 51 0 -0.0177 -0.0768 -6.3938 -0.0241 -0.0829 -6.5936 0.0645 0.2000 0.4314 0.3922 0.1961 4.6464 1.0000 
51 52 0 -0.0241 -0.0829 -6.5936 -0.0227 -0.0879 -6.6922 0.0645 0.0987 0.4314 0.3922 0.1961 4.7207 1.0000 
52 53 0 -0.0227 -0.0879 -6.6922 -0.0214 -0.0949 -6.8638 0.0645 0.1718 0.4314 0.3922 0.1961 4.8503 1.0000 
53 54 0 -0.0214 -0.0949 -6.8638 -0.0357 -0.0915 -7.0440 0.0645 0.1808 0.4314 0.3922 0.1961 4.9873 1.0000 
54 55 0 -0.0357 -0.0915 -7.0440 -0.0474 -0.0842 -7.2401 0.0645 0.1965 0.4314 0.3922 0.1961 5.1368 1.0000 
55 56 0 -0.0474 -0.0842 -7.2401 -0.0632 -0.0776 -7.4393 0.0645 0.2000 0.4314 0.3922 0.1961 5.2897 1.0000 
56 57 0 -0.0632 -0.0776 -7.4393 -0.0641 -0.0767 -7.4554 0.0645 0.0161 0.4314 0.3922 0.1961 5.3020 1.0000 
57 58 0 -0.0641 -0.0767 -7.4554 -0.0667 -0.0727 -7.5010 0.0645 0.0459 0.4314 0.3922 0.1961 5.3371 1.0000 
58 59 0 -0.0667 -0.0727 -7.5010 -0.0774 -0.0857 -7.7003 0.0645 0.2000 0.4314 0.3922 0.1961 5.4909 1.0000 
59 60 0 -0.0774 -0.0857 -7.7003 -0.0786 -0.0887 -7.7585 0.0645 0.0583 0.4314 0.3922 0.1961 5.5359 1.0000 
60 61 0 -0.0786 -0.0887 -7.7585 -0.0855 -0.0791 -7.9581 0.0645 0.2000 0.4314 0.3922 0.1961 5.6905 1.0000 
61 62 0 -0.0855 -0.0791 -7.9581 -0.0862 -0.0784 -7.9698 0.0645 0.0117 0.4314 0.3922 0.1961 5.6996 1.0000 
62 63 0 -0.0862 -0.0784 -7.9698 -0.0878 -0.0599 -8.1119 0.0645 0.1433 0.4314 0.3922 0.1961 5.8109 1.0000 
63 64 0 -0.0878 -0.0599 -8.1119 -0.0958 -0.0525 -8.3116 0.0645 0.2000 0.4314 0.3922 0.1961 5.9669 1.0000 
64 65 0 -0.0958 -0.0525 -8.3116 -0.0962 -0.0521 -8.3238 0.0645 0.0122 0.4314 0.3922 0.1961 5.9764 1.0000 
65 66 0 -0.0962 -0.0521 -8.3238 -0.0848 -0.0564 -8.4927 0.0645 0.1693 0.4314 0.3922 0.1961 6.1090 1.0000 
66 67 0 -0.0848 -0.0564 -8.4927 -0.0775 -0.0712 -8.6871 0.0645 0.1951 0.4314 0.3922 0.1961 6.2625 1.0000 
67 68 0 -0.0775 -0.0712 -8.6871 -0.0695 -0.0862 -8.8863 0.0645 0.2000 0.4314 0.3922 0.1961 6.4205 1.0000 
68 69 0 -0.0695 -0.0862 -8.8863 -0.0694 -0.0864 -8.8901 0.0645 0.0038 0.4314 0.3922 0.1961 6.4235 1.0000 
69 70 0 -0.0694 -0.0864 -8.8901 -0.0744 -0.1048 -9.0892 0.0645 0.2000 0.4314 0.3922 0.1961 6.5823 1.0000 
70 71 0 -0.0744 -0.1048 -9.0892 -0.0761 -0.1124 -9.1672 0.0645 0.0784 0.4314 0.3922 0.1961 6.6448 1.0000 
71 72 0 -0.0761 -0.1124 -9.1672 -0.0761 -0.1290 -9.3284 0.0645 0.1620 0.4314 0.3922 0.1961 6.7742 1.0000 
72 73 0 -0.0761 -0.1290 -9.3284 -0.0766 -0.1483 -9.5275 0.0645 0.2000 0.4314 0.3922 0.1961 6.9347 1.0000 
73 74 0 -0.0766 -0.1483 -9.5275 -0.0806 -0.1557 -9.6111 0.0645 0.0841 0.4314 0.3922 0.1961 7.0024 1.0000 
74 75 0 -0.0806 -0.1557 -9.6111 -0.0805 -0.1459 -9.7395 0.0645 0.1288 0.4314 0.3922 0.1961 7.1064 1.0000 
75 76 0 -0.0805 -0.1459 -9.7395 -0.0759 -0.1312 -9.9267 0.0645 0.1878 0.4314 0.3922 0.1961 7.2585 1.0000 
76 77 0 -0.0759 -0.1312 -9.9267 -0.0758 -0.1138 -10.1259 0.0645 0.2000 0.4314 0.3922 0.1961 7.4213 1.0000 
77 78 0 -0.0758 -0.1138 -10.1259 -0.0772 -0.1074 -10.1987 0.0645 0.0731 0.4314 0.3922 0.1961 7.4810 1.0000 
78 79 0 -0.0772 -0.1074 -10.1987 -0.0695 -0.0651 -10.3941 0.0645 0.2000 0.4314 0.3922 0.1961 7.6449 1.0000 
79 80 0 -0.0695 -0.0651 -10.3941 -0.0676 -0.0586 -10.4394 0.0645 0.0458 0.4314 0.3922 0.1961 7.6826 1.0000 
80 81 0 -0.0676 -0.0586 -10.4394 -0.0717 -0.0309 -10.6044 0.0645 0.1674 0.4314 0.3922 0.1961 7.8205 1.0000 
81 82 0 -0.0717 -0.0309 -10.6044 -0.0850 -0.0000 -10.7855 0.0645 0.1841 0.4314 0.3922 0.1961 7.9729 1.0000 
82 83 0 -0.0850 -0.0000 -10.7855 -0.0828 0.0376 -10.9819 0.0645 0.2000 0.4314 0.3922 0.1961 8.1392 1.0000 
83 84 0 -0.0828 0.0376 -10.9819 -0.0779 0.0518 -11.0956 0.0645 0.1147 0.4314 0.3922 0.1961 8.2350 1.0000 
84 85 0 -0.0779 0.0518 -11.0956 -0.0742 0.0655 -11.2951 0.0645 0.2000 0.4314 0.3922 0.1961 8.4026 1.0000 
85 86 0 -0.0742 0.0655 -11.2951 -0.0743 0.0666 -11.3103 0.0645 0.0152 0.4314 0.3922 0.1961 8.4154 1.0000 
86 87 0 -0.0743 0.0666 -11.3103 -0.0749 0.0834 -11.5096 0.0645 0.2000 0.4314 0.3922 0.1961 8.5839 1.0000 
87 88 0 -0.0749 0.0834 -11.5096 -0.0749 0.0837 -11.5246 0.0645 0.0150 0.4314 0.3922 0.1961 8.5966 1.0000 
88 89 0 -0.0749 0.0837 -11.5246 -0.0839 0.0581 -11.7227 0.0645 0.2000 0.4314 0.3922 0.1961 8.7660 1.0000 
89 90 0 -0.0839 0.0581 -11.7227 -0.0863 0.0568 -11.7563 0.0645 0.0337 0.4314 0.3922 0.1961 8.7946 1.0000 
90 91 0 -0.0863 0.0568 -11.7563 -0.0946 0.0444 -11.9502 0.0645 0.1945 0.4314 0.3922 0.1961 8.9603 1.0000 
91 92 0 -0.0946 0.0444 -11.9502 -0.1112 0.0288 -12.0990 0.0645 0.1505 0.4314 0.3922 0.1961 9.0891 1.0000 
92 93 0 -0.1112 0.0288 -12.0990 -0.1124 0.0114 -12.2982 0.0645 0.2000 0.4314 0.3922 0.1961 9.2610 1.0000 
93 94 0 -0.1124 0.0114 -12.2982 -0.1134 0.0102 -12.3125 0.0645 0.0143 0.4314 0.3922 0.1961 9.2734 1.0000 
94 95 0 -0.1134 0.0102 -12.3125 -0.1184 0.0238 -12.4545 0.0645 0.1427 0.4314 0.3922 0.1961 9.3966 1.0000 
95 96 0 -0.1184 0.0238 -12.4545 -0.1184 0.0240 -12.4566 0.0645 0.0022 0.4314 0.3922 0.1961 9.3985 1.0000 
96 97 0 -0.1184 0.0240 -12.4566 -0.1157 0.0583 -12.6516 0.0645 0.1980 0.4314 0.3922 0.1961 9.5702 1.0000 
97 98 0 -0.1157 0.0583 -12.6516 -0.1016 0.0894 -12.8486 0.0645 0.2000 0.4314 0.3922 0.1961 9.7446 1.0000 
98 99 0 -0.1016 0.0894 -12.8486 -0.1002 0.0924 -12.8842 0.0645 0.0357 0.4314 0.3922 0.1961 9.7759 1.0000 
99 100 0 -0.1002 0.0924 -12.8842 -0.1099 0.0804 -13.0836 0.0645 0.2000 0.4314 0.3922 0.1961 9.9514 1.0000 
100 101 0 -0.1099 0.0804 -13.0836 -0.1024 0.0777 -13.1928 0.0645 0.1095 0.4314 0.3922 0.1961 10.0478 1.0000 
101 102 0 -0.1024 0.0777 -13.1928 -0.0974 0.0645 -13.3923 0.0645 0.2000 0.4314 0.3922 0.1961 10.2247 1.0000 
