"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
0,1,0,0,0,0,0.0167,0.001,-0.198,0.0717,0.198705535906778,0.4314,0.3922,0.1961,0.1094,1,"Tomato_60_8"
1,2,0,0.0167,0.001,-0.198,0.0196,0.0102,-0.3108,0.0717,0.11321170434191,0.4314,0.3922,0.1961,0.1718,1,"Tomato_60_8"
2,3,0,0.0196,0.0102,-0.3108,0.0162,0.0362,-0.506,0.0717,0.196953293955699,0.4314,0.3922,0.1961,0.2808,1,"Tomato_60_8"
3,4,0,0.0162,0.0362,-0.506,0.0108,0.0588,-0.6986,0.0717,0.193996597908314,0.4314,0.3922,0.1961,0.3886,1,"Tomato_60_8"
4,5,0,0.0108,0.0588,-0.6986,0.0074,0.0788,-0.8668,0.0717,0.16941900719813,0.4314,0.3922,0.1961,0.483,1,"Tomato_60_8"
5,6,0,0.0074,0.0788,-0.8668,0.0252,0.095,-1.0653,0.0717,0.199953819668442,0.4314,0.3922,0.1961,0.5949,1,"Tomato_60_8"
6,7,0,0.0252,0.095,-1.0653,0.0262,0.0958,-1.0778,0.0717,0.0125654287630787,0.4314,0.3922,0.1961,0.6019,1,"Tomato_60_8"
7,8,0,0.0262,0.0958,-1.0778,0.0386,0.1002,-1.2774,0.0717,0.200033197244857,0.4314,0.3922,0.1961,0.7142,1,"Tomato_60_8"
8,9,0,0.0386,0.1002,-1.2774,0.0443,0.1023,-1.3702,0.0717,0.0929986021400322,0.4314,0.3922,0.1961,0.7666,1,"Tomato_60_8"
9,10,0,0.0443,0.1023,-1.3702,0.0483,0.1043,-1.4362,0.0717,0.0661513416341648,0.4314,0.3922,0.1961,0.8039,1,"Tomato_60_8"
10,11,0,0.0483,0.1043,-1.4362,0.0599,0.1064,-1.6359,0.0717,0.200047644325046,0.4314,0.3922,0.1961,0.917,1,"Tomato_60_8"
11,12,0,0.0599,0.1064,-1.6359,0.065,0.1069,-1.6859,0.0717,0.050261914010511,0.4314,0.3922,0.1961,0.9455,1,"Tomato_60_8"
12,13,0,0.065,0.1069,-1.6859,0.079,0.1063,-1.7969,0.0717,0.111881008218553,0.4314,0.3922,0.1961,1.009,1,"Tomato_60_8"
13,14,0,0.079,0.1063,-1.7969,0.0765,0.11,-1.92,0.0717,0.123180964438504,0.4314,0.3922,0.1961,1.0791,1,"Tomato_60_8"
14,15,0,0.0765,0.11,-1.92,0.0834,0.1114,-2.1161,0.0717,0.196226348893312,0.4314,0.3922,0.1961,1.1911,1,"Tomato_60_8"
15,16,0,0.0834,0.1114,-2.1161,0.089,0.1111,-2.316,0.0717,0.199978648860322,0.4314,0.3922,0.1961,1.3056,1,"Tomato_60_8"
16,17,0,0.089,0.1111,-2.316,0.0891,0.1111,-2.3176,0.0717,0.00160312195418841,0.4314,0.3922,0.1961,1.3065,1,"Tomato_60_8"
17,18,0,0.0891,0.1111,-2.3176,0.1202,0.1035,-2.515,0.0717,0.19997932393125,0.4314,0.3922,0.1961,1.4215,1,"Tomato_60_8"
18,19,0,0.1202,0.1035,-2.515,0.1304,0.1024,-2.582,0.0717,0.0677808970138339,0.4314,0.3922,0.1961,1.4606,1,"Tomato_60_8"
19,20,0,0.1304,0.1024,-2.582,0.1493,0.1,-2.703,0.0717,0.122490693524039,0.4314,0.3922,0.1961,1.5314,1,"Tomato_60_8"
20,21,0,0.1493,0.1,-2.703,0.1551,0.0968,-2.8077,0.0717,0.104909341814731,0.4314,0.3922,0.1961,1.5921,1,"Tomato_60_8"
21,22,0,0.1551,0.0968,-2.8077,0.1661,0.0908,-3.0073,0.0717,0.19999289987397,0.4314,0.3922,0.1961,1.7083,1,"Tomato_60_8"
22,23,0,0.1661,0.0908,-3.0073,0.1664,0.0906,-3.0118,0.0717,0.00451442133611846,0.4314,0.3922,0.1961,1.7108,1,"Tomato_60_8"
23,24,0,0.1664,0.0906,-3.0118,0.1824,0.1135,-3.2098,0.0717,0.199961021201633,0.4314,0.3922,0.1961,1.8274,1,"Tomato_60_8"
24,25,0,0.1824,0.1135,-3.2098,0.1847,0.1191,-3.2483,0.0717,0.0389730676236808,0.4314,0.3922,0.1961,1.8502,1,"Tomato_60_8"
25,26,0,0.1847,0.1191,-3.2483,0.1963,0.1425,-3.4072,0.0717,0.161032077549785,0.4314,0.3922,0.1961,1.9445,1,"Tomato_60_8"
26,27,0,0.1963,0.1425,-3.4072,0.1883,0.1616,-3.5209,0.0717,0.115570324910853,0.4314,0.3922,0.1961,2.0123,1,"Tomato_60_8"
27,28,0,0.1883,0.1616,-3.5209,0.1748,0.1902,-3.6828,0.0717,0.164960055771086,0.4314,0.3922,0.1961,2.1094,1,"Tomato_60_8"
28,29,0,0.1748,0.1902,-3.6828,0.1634,0.1848,-3.8814,0.0717,0.199000201004924,0.4314,0.3922,0.1961,2.227,1,"Tomato_60_8"
29,30,0,0.1634,0.1848,-3.8814,0.1582,0.1808,-3.9882,0.0717,0.107001308403215,0.4314,0.3922,0.1961,2.2905,1,"Tomato_60_8"
30,31,0,0.1582,0.1808,-3.9882,0.1307,0.1624,-4.1814,0.0717,0.196012882229715,0.4314,0.3922,0.1961,2.407,1,"Tomato_60_8"
31,32,0,0.1307,0.1624,-4.1814,0.1288,0.1347,-4.3795,0.0717,0.200036271710908,0.4314,0.3922,0.1961,2.5264,1,"Tomato_60_8"
32,33,0,0.1288,0.1347,-4.3795,0.1285,0.1338,-4.3866,0.0717,0.00716309988761793,0.4314,0.3922,0.1961,2.5307,1,"Tomato_60_8"
33,34,0,0.1285,0.1338,-4.3866,0.1286,0.115,-4.5857,0.0717,0.199985649485157,0.4314,0.3922,0.1961,2.6505,1,"Tomato_60_8"
34,35,0,0.1286,0.115,-4.5857,0.1289,0.1116,-4.6431,0.0717,0.0575013912875153,0.4314,0.3922,0.1961,2.6851,1,"Tomato_60_8"
35,36,0,0.1289,0.1116,-4.6431,0.1322,0.1088,-4.7555,0.0717,0.112483287647544,0.4314,0.3922,0.1961,2.7528,1,"Tomato_60_8"
36,37,0,0.1322,0.1088,-4.7555,0.1454,0.1035,-4.9008,0.0717,0.145994588940824,0.4314,0.3922,0.1961,2.8409,1,"Tomato_60_8"
37,38,0,0.1454,0.1035,-4.9008,0.1469,0.0954,-4.9717,0.0717,0.0713769570659887,0.4314,0.3922,0.1961,2.8841,1,"Tomato_60_8"
38,39,0,0.1469,0.0954,-4.9717,0.1475,0.072,-5.1704,0.0717,0.200074011305816,0.4314,0.3922,0.1961,3.0054,1,"Tomato_60_8"
