node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -0.0000 0.0001 0.0000 -0.2000 0.0654 0.2000 0.4314 0.3922 0.1961 0.1686 1.0000 
1 2 0 0.0001 0.0000 -0.2000 -0.0010 -0.0001 -0.2234 0.0654 0.0235 0.4314 0.3922 0.1961 0.1884 1.0000 
2 3 0 -0.0010 -0.0001 -0.2234 -0.0011 0.0030 -0.4234 0.0654 0.2000 0.4314 0.3922 0.1961 0.3577 1.0000 
3 4 0 -0.0011 0.0030 -0.4234 -0.0011 0.0031 -0.4256 0.0654 0.0022 0.4314 0.3922 0.1961 0.3596 1.0000 
4 5 0 -0.0011 0.0031 -0.4256 0.0066 0.0027 -0.6179 0.0654 0.1925 0.4314 0.3922 0.1961 0.5232 1.0000 
5 6 0 0.0066 0.0027 -0.6179 0.0150 0.0068 -0.8177 0.0654 0.2000 0.4314 0.3922 0.1961 0.6939 1.0000 
6 7 0 0.0150 0.0068 -0.8177 0.0151 0.0069 -0.8217 0.0654 0.0040 0.4314 0.3922 0.1961 0.6973 1.0000 
7 8 0 0.0151 0.0069 -0.8217 0.0046 0.0088 -0.9691 0.0654 0.1478 0.4314 0.3922 0.1961 0.8239 1.0000 
8 9 0 0.0046 0.0088 -0.9691 -0.0233 0.0074 -1.1431 0.0654 0.1762 0.4314 0.3922 0.1961 0.9754 1.0000 
9 10 0 -0.0233 0.0074 -1.1431 -0.0565 0.0314 -1.3334 0.0654 0.1946 0.4314 0.3922 0.1961 1.1433 1.0000 
10 11 0 -0.0565 0.0314 -1.3334 -0.0703 -0.0173 -1.5268 0.0654 0.2000 0.4314 0.3922 0.1961 1.3166 1.0000 
11 12 0 -0.0703 -0.0173 -1.5268 -0.0761 -0.0265 -1.5818 0.0654 0.0560 0.4314 0.3922 0.1961 1.3653 1.0000 
12 13 0 -0.0761 -0.0265 -1.5818 -0.0963 -0.0595 -1.7742 0.0654 0.1962 0.4314 0.3922 0.1961 1.5362 1.0000 
13 14 0 -0.0963 -0.0595 -1.7742 -0.1075 -0.0899 -1.9641 0.0654 0.1927 0.4314 0.3922 0.1961 1.7047 1.0000 
14 15 0 -0.1075 -0.0899 -1.9641 -0.1147 -0.1253 -2.1608 0.0654 0.2000 0.4314 0.3922 0.1961 1.8804 1.0000 
15 16 0 -0.1147 -0.1253 -2.1608 -0.1157 -0.1265 -2.1716 0.0654 0.0109 0.4314 0.3922 0.1961 1.8900 1.0000 
16 17 0 -0.1157 -0.1265 -2.1716 -0.1262 -0.1225 -2.3528 0.0654 0.1815 0.4314 0.3922 0.1961 2.0501 1.0000 
17 18 0 -0.1262 -0.1225 -2.3528 -0.1311 -0.1212 -2.5178 0.0654 0.1651 0.4314 0.3922 0.1961 2.1963 1.0000 
18 19 0 -0.1311 -0.1212 -2.5178 -0.1436 -0.1410 -2.7164 0.0654 0.2000 0.4314 0.3922 0.1961 2.3740 1.0000 
19 20 0 -0.1436 -0.1410 -2.7164 -0.1439 -0.1416 -2.7230 0.0654 0.0066 0.4314 0.3922 0.1961 2.3799 1.0000 
20 21 0 -0.1439 -0.1416 -2.7230 -0.1417 -0.1430 -2.9230 0.0654 0.2000 0.4314 0.3922 0.1961 2.5585 1.0000 
21 22 0 -0.1417 -0.1430 -2.9230 -0.1416 -0.1428 -2.9509 0.0654 0.0279 0.4314 0.3922 0.1961 2.5834 1.0000 
22 23 0 -0.1416 -0.1428 -2.9509 -0.1272 -0.1293 -3.1499 0.0654 0.2000 0.4314 0.3922 0.1961 2.7628 1.0000 
