id,order_id,order,type,x,y
1,1,Taproot,kr,0,8.17E-08
2,1,Taproot,kr,8,7.03E-08
3,1,Taproot,kr,25,6.38E-08
4,1,Taproot,kr,26,6.38E-08
5,1,Taproot,kr,27,5.23E-08
6,1,Taproot,kr,28,4.82E-08
7,1,Taproot,kr,29,4.52E-08
8,1,Taproot,kr,30,4.15E-08
9,1,Taproot,kx,0,0.008651695
10,1,Taproot,kx,8,0.0200405
11,1,Taproot,kx,25,0.2070076
12,1,Taproot,kx,26,0.3204593
13,1,Taproot,kx,27,0.496089
14,1,Taproot,kx,28,0.7679735
15,1,Taproot,kx,29,1.188866
16,1,Taproot,kx,30,1.840431
17,2,Lateral,kr,0,7.03E-08
18,2,Lateral,kr,8,7.03E-08
19,2,Lateral,kr,25,7.03E-08
20,2,Lateral,kr,26,7.03E-08
21,2,Lateral,kr,27,7.03E-08
22,2,Lateral,kr,28,7.03E-08
23,2,Lateral,kr,29,7.03E-08
24,2,Lateral,kr,30,7.03E-08
25,2,Lateral,kx,0,0.02472353
26,2,Lateral,kx,8,0.02472353
27,2,Lateral,kx,25,0.02472353
28,2,Lateral,kx,26,0.02472353
29,2,Lateral,kx,27,0.02472353
30,2,Lateral,kx,28,0.02472353
31,2,Lateral,kx,29,0.02472353
32,2,Lateral,kx,30,0.02472353
