node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 0.0021 0.0000 -3.2000 0.0631 0.2000 0.4314 0.3922 0.1961 0.1528 1.0000 
1 2 0 0.0021 0.0000 -3.2000 -0.0020 -0.0008 -3.3970 0.0631 0.1971 0.4314 0.3922 0.1961 0.3039 1.0000 
2 3 0 -0.0020 -0.0008 -3.3970 0.0061 -0.0090 -3.5967 0.0631 0.2000 0.4314 0.3922 0.1961 0.4578 1.0000 
3 4 0 0.0061 -0.0090 -3.5967 0.0260 -0.0200 -3.7900 0.0631 0.1946 0.4314 0.3922 0.1961 0.6082 1.0000 
4 5 0 0.0260 -0.0200 -3.7900 0.0462 -0.0311 -3.9886 0.0631 0.2000 0.4314 0.3922 0.1961 0.7632 1.0000 
5 6 0 0.0462 -0.0311 -3.9886 0.0641 -0.0411 -4.1507 0.0631 0.1634 0.4314 0.3922 0.1961 0.8904 1.0000 
6 7 0 0.0641 -0.0411 -4.1507 0.0909 -0.0456 -4.3489 0.0631 0.2000 0.4314 0.3922 0.1961 1.0465 1.0000 
7 8 0 0.0909 -0.0456 -4.3489 0.0977 -0.0438 -4.5407 0.0631 0.1919 0.4314 0.3922 0.1961 1.1969 1.0000 
8 9 0 0.0977 -0.0438 -4.5407 0.1165 -0.0548 -4.7395 0.0631 0.2000 0.4314 0.3922 0.1961 1.3542 1.0000 
9 10 0 0.1165 -0.0548 -4.7395 0.1262 -0.0248 -4.9332 0.0631 0.1963 0.4314 0.3922 0.1961 1.5092 1.0000 
10 11 0 0.1262 -0.0248 -4.9332 0.1194 -0.0030 -5.1319 0.0631 0.2000 0.4314 0.3922 0.1961 1.6677 1.0000 
11 12 0 0.1194 -0.0030 -5.1319 0.1126 0.0187 -5.3306 0.0631 0.2000 0.4314 0.3922 0.1961 1.8269 1.0000 
12 13 0 0.1126 0.0187 -5.3306 0.1125 0.0190 -5.3345 0.0631 0.0039 0.4314 0.3922 0.1961 1.8300 1.0000 
13 14 0 0.1125 0.0190 -5.3345 0.1055 0.0341 -5.5338 0.0631 0.2000 0.4314 0.3922 0.1961 1.9898 1.0000 
14 15 0 0.1055 0.0341 -5.5338 0.0932 0.0399 -5.7333 0.0631 0.2000 0.4314 0.3922 0.1961 2.1502 1.0000 
15 16 0 0.0932 0.0399 -5.7333 0.0923 0.0404 -5.7486 0.0631 0.0153 0.4314 0.3922 0.1961 2.1625 1.0000 
16 17 0 0.0923 0.0404 -5.7486 0.0718 0.0609 -5.9465 0.0631 0.2000 0.4314 0.3922 0.1961 2.3236 1.0000 
17 18 0 0.0718 0.0609 -5.9465 0.0482 0.0665 -6.1450 0.0631 0.2000 0.4314 0.3922 0.1961 2.4853 1.0000 
18 19 0 0.0482 0.0665 -6.1450 0.0446 0.0672 -6.1725 0.0631 0.0277 0.4314 0.3922 0.1961 2.5078 1.0000 
