"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","X","RSA_id","kr","Kx","SUF","RSHA_id","age"
0,1,0,0,0,-3,0.0066,-0.0078,-3.1751,0.1887,0.175397862016616,0.4314,0.3922,0.1961,0.1383,1,NA,"Tomato_60d_1",6.80786177288459e-05,0.246087691037631,0.00205846375019091,"Tomato_60d_1_20_1A_60",20
1,2,0,0.0066,-0.0078,-3.1751,0.0047,-0.0036,-3.3398,0.1887,0.164764498603309,0.4314,0.3922,0.1961,0.2685,1,NA,"Tomato_60d_1",6.79756325651105e-05,0.241850770802401,0.00192208442302894,"Tomato_60d_1_20_1A_60",20
2,3,0,0.0047,-0.0036,-3.3398,0.0022,0.0019,-3.5397,0.1887,0.199991274809678,0.4314,0.3922,0.1961,0.4271,1,NA,"Tomato_60d_1",6.78501836636633e-05,0.236689668273159,0.00231862872417478,"Tomato_60d_1_20_1A_60",20
3,4,0,0.0022,0.0019,-3.5397,0.0024,0.0027,-3.5735,0.1887,0.0338100576751951,0.4314,0.3922,0.1961,0.454,1,NA,"Tomato_60d_1",6.78289063909714e-05,0.235814298424252,0.000390818100064587,"Tomato_60d_1_20_1A_60",20
4,5,0,0.0024,0.0027,-3.5735,-0.0033,0.0028,-3.7597,0.1887,0.186287251308295,0.4314,0.3922,0.1961,0.6022,1,NA,"Tomato_60d_1",6.77116836469961e-05,0.230991628847747,0.00214447343312154,"Tomato_60d_1_20_1A_60",20
5,6,0,-0.0033,0.0028,-3.7597,-0.0113,0.0018,-3.9595,0.1887,0.199962596502446,0.4314,0.3922,0.1961,0.7618,1,NA,"Tomato_60d_1",6.75854437688688e-05,0.225797984688434,0.00228819798843129,"Tomato_60d_1_20_1A_60",20
6,7,0,-0.0113,0.0018,-3.9595,-0.0172,-0.0028,-4.0153,0.1887,0.0562992895159433,0.4314,0.3922,0.1961,0.8068,1,NA,"Tomato_60d_1",6.7549849818269e-05,0.224333611335244,0.000642216047000625,"Tomato_60d_1_20_1A_60",20
7,8,0,-0.0172,-0.0028,-4.0153,-0.0565,-0.0171,-4.2109,0.1887,0.200020848913307,0.4314,0.3922,0.1961,0.967,1,NA,"Tomato_60d_1",6.74231353541338e-05,0.219120442197888,0.0022715968072927,"Tomato_60d_1_20_1A_60",20
8,9,0,-0.0565,-0.0171,-4.2109,-0.0646,-0.0234,-4.2751,0.1887,0.0650149213642535,0.4314,0.3922,0.1961,1.0192,1,NA,"Tomato_60d_1",6.7381846371438e-05,0.217531545260621,0.000736011658636555,"Tomato_60d_1_20_1A_60",20
9,10,0,-0.0646,-0.0234,-4.2751,-0.0876,-0.0424,-4.4728,0.1887,0.199938215456676,0.4314,0.3922,0.1961,1.1801,1,NA,"Tomato_60d_1",6.72545782236268e-05,0.212974942479386,0.00225379011264568,"Tomato_60d_1_20_1A_60",20
10,11,0,-0.0876,-0.0424,-4.4728,-0.1001,-0.0537,-4.5831,0.1887,0.11157970245524,0.4314,0.3922,0.1961,1.2701,1,NA,"Tomato_60d_1",6.71833903224272e-05,0.210426190146812,0.00125304448593812,"Tomato_60d_1_20_1A_60",20
11,12,0,-0.1001,-0.0537,-4.5831,-0.1145,-0.0763,-4.7813,0.1887,0.2000033999711,0.4314,0.3922,0.1961,1.4318,1,NA,"Tomato_60d_1",6.70554893932719e-05,0.205846931789288,0.00223603993596265,"Tomato_60d_1_20_1A_60",20
12,13,0,-0.1145,-0.0763,-4.7813,-0.1195,-0.0802,-4.8336,0.1887,0.0526830143404872,0.4314,0.3922,0.1961,1.4745,1,NA,"Tomato_60d_1",6.70217146890361e-05,0.204637690404833,0.000587491949174031,"Tomato_60d_1_20_1A_60",20
13,14,0,-0.1195,-0.0802,-4.8336,-0.1316,-0.0906,-4.9653,0.1887,0.132662956397029,0.4314,0.3922,0.1961,1.5821,1,NA,"Tomato_60d_1",6.69366055982686e-05,0.201590515393889,0.00147541302175851,"Tomato_60d_1_20_1A_60",20
14,15,0,-0.1316,-0.0906,-4.9653,-0.1136,-0.0972,-5.1562,0.1887,0.191860287709573,0.4314,0.3922,0.1961,1.7382,1,NA,"Tomato_60d_1",6.68131341385213e-05,0.197169846070392,0.00212465776363801,"Tomato_60d_1_20_1A_60",20
15,16,0,-0.1136,-0.0972,-5.1562,-0.1068,-0.0897,-5.3027,0.1887,0.146849378616322,0.4314,0.3922,0.1961,1.858,1,NA,"Tomato_60d_1",6.67183751322578e-05,0.193777173521032,0.00162003215142936,"Tomato_60d_1_20_1A_60",20
16,17,0,-0.1068,-0.0897,-5.3027,-0.0963,-0.0854,-5.5024,0.1887,0.20002207378187,0.4314,0.3922,0.1961,2.0216,1,NA,"Tomato_60d_1",6.65889713474106e-05,0.189248459699601,0.00219755651786723,"Tomato_60d_1_20_1A_60",20
