"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","X","RSA_id","kr","Kx","SUF","RSHA_id","age"
0,1,0,0,0,-3,0.0066,-0.0078,-3.1751,0.1887,0.175397862016616,0.4314,0.3922,0.1961,0.1383,1,NA,"Tomato_60d_1",6.66468336321675e-05,0.246087691037631,0.00159759151217485,"Tomato_60d_1_20_1B_60",20
1,2,0,0.0066,-0.0078,-3.1751,0.0047,-0.0036,-3.3398,0.1887,0.164764498603309,0.4314,0.3922,0.1961,0.2685,1,NA,"Tomato_60d_1",6.67683825855906e-05,0.241850770802401,0.00149496944792863,"Tomato_60d_1_20_1B_60",20
2,3,0,0.0047,-0.0036,-3.3398,0.0022,0.0019,-3.5397,0.1887,0.199991274809678,0.4314,0.3922,0.1961,0.4271,1,NA,"Tomato_60d_1",6.69164445211737e-05,0.236689668273159,0.00180867935688782,"Tomato_60d_1_20_1B_60",20
3,4,0,0.0022,0.0019,-3.5397,0.0024,0.0027,-3.5735,0.1887,0.0338100576751951,0.4314,0.3922,0.1961,0.454,1,NA,"Tomato_60d_1",6.69415571697688e-05,0.235814298424252,0.000304860992302585,"Tomato_60d_1_20_1B_60",20
4,5,0,0.0024,0.0027,-3.5735,-0.0033,0.0028,-3.7597,0.1887,0.186287251308295,0.4314,0.3922,0.1961,0.6022,1,NA,"Tomato_60d_1",6.70799101259694e-05,0.230991628847747,0.00167812647326626,"Tomato_60d_1_20_1B_60",20
5,6,0,-0.0033,0.0028,-3.7597,-0.0113,0.0018,-3.9595,0.1887,0.199962596502446,0.4314,0.3922,0.1961,0.7618,1,NA,"Tomato_60d_1",6.72289056172623e-05,0.225797984688434,0.00179600227233706,"Tomato_60d_1_20_1B_60",20
6,7,0,-0.0113,0.0018,-3.9595,-0.0172,-0.0028,-4.0153,0.1887,0.0562992895159433,0.4314,0.3922,0.1961,0.8068,1,NA,"Tomato_60d_1",6.72709156242058e-05,0.224333611335244,0.000504310694434713,"Tomato_60d_1_20_1B_60",20
7,8,0,-0.0172,-0.0028,-4.0153,-0.0565,-0.0171,-4.2109,0.1887,0.200020848913307,0.4314,0.3922,0.1961,0.967,1,NA,"Tomato_60d_1",6.74204712489246e-05,0.219120442197888,0.001789949076512,"Tomato_60d_1_20_1B_60",20
8,9,0,-0.0565,-0.0171,-4.2109,-0.0646,-0.0234,-4.2751,0.1887,0.0650149213642535,0.4314,0.3922,0.1961,1.0192,1,NA,"Tomato_60d_1",6.74692028569791e-05,0.217531545260621,0.000580340454149519,"Tomato_60d_1_20_1B_60",20
9,10,0,-0.0646,-0.0234,-4.2751,-0.0876,-0.0424,-4.4728,0.1887,0.199938215456676,0.4314,0.3922,0.1961,1.1801,1,NA,"Tomato_60d_1",6.76194119706948e-05,0.212974942479386,0.0017833258395079,"Tomato_60d_1_20_1B_60",20
10,11,0,-0.0876,-0.0424,-4.4728,-0.1001,-0.0537,-4.5831,0.1887,0.11157970245524,0.4314,0.3922,0.1961,1.2701,1,NA,"Tomato_60d_1",6.77034319845818e-05,0.210426190146812,0.000993065588931543,"Tomato_60d_1_20_1B_60",20
11,12,0,-0.1001,-0.0537,-4.5831,-0.1145,-0.0763,-4.7813,0.1887,0.2000033999711,0.4314,0.3922,0.1961,1.4318,1,NA,"Tomato_60d_1",6.78543879428654e-05,0.205846931789288,0.00177827455814552,"Tomato_60d_1_20_1B_60",20
12,13,0,-0.1145,-0.0763,-4.7813,-0.1195,-0.0802,-4.8336,0.1887,0.0526830143404872,0.4314,0.3922,0.1961,1.4745,1,NA,"Tomato_60d_1",6.78942507716762e-05,0.204637690404833,0.000467481212767762,"Tomato_60d_1_20_1B_60",20
13,14,0,-0.1195,-0.0802,-4.8336,-0.1316,-0.0906,-4.9653,0.1887,0.132662956397029,0.4314,0.3922,0.1961,1.5821,1,NA,"Tomato_60d_1",6.79947013660566e-05,0.201590515393889,0.00117682478462355,"Tomato_60d_1_20_1B_60",20
14,15,0,-0.1316,-0.0906,-4.9653,-0.1136,-0.0972,-5.1562,0.1887,0.191860287709573,0.4314,0.3922,0.1961,1.7382,1,NA,"Tomato_60d_1",6.8140429412365e-05,0.197169846070392,0.00170038674286885,"Tomato_60d_1_20_1B_60",20
15,16,0,-0.1136,-0.0972,-5.1562,-0.1068,-0.0897,-5.3027,0.1887,0.146849378616322,0.4314,0.3922,0.1961,1.858,1,NA,"Tomato_60d_1",6.82522693864057e-05,0.193777173521032,0.00129971372177281,"Tomato_60d_1_20_1B_60",20
16,17,0,-0.1068,-0.0897,-5.3027,-0.0963,-0.0854,-5.5024,0.1887,0.20002207378187,0.4314,0.3922,0.1961,2.0216,1,NA,"Tomato_60d_1",6.8404999100538e-05,0.189248459699601,0.00176946671625938,"Tomato_60d_1_20_1B_60",20
17,18,0,-0.0963,-0.0854,-5.5024,-0.0934,-0.0871,-5.5672,0.1887,0.0648871327768456,0.4314,0.3922,0.1961,2.0747,1,NA,"Tomato_60d_1",6.84545709087314e-05,0.187939803789275,0.000573300693065119,"Tomato_60d_1_20_1B_60",20
18,19,0,-0.0934,-0.0871,-5.5672,-0.06,-0.0978,-5.7641,0.1887,0.199999149998194,0.4314,0.3922,0.1961,2.239,1,NA,"Tomato_60d_1",6.86079541118606e-05,0.183890610454687,0.00176765688030023,"Tomato_60d_1_20_1B_60",20
19,20,0,-0.06,-0.0978,-5.7641,-0.0515,-0.1037,-5.8211,0.1887,0.0579315112870366,0.4314,0.3922,0.1961,2.2867,1,NA,"Tomato_60d_1",6.86524847192207e-05,0.182715038196259,0.00051142992256558,"Tomato_60d_1_20_1B_60",20
20,21,0,-0.0515,-0.1037,-5.8211,-0.0422,-0.1105,-5.8872,0.1887,0.0670964976731271,0.4314,0.3922,0.1961,2.342,1,NA,"Tomato_60d_1",6.87041103499757e-05,0.181352163020345,0.000592330814214547,"Tomato_60d_1_20_1B_60",20
21,22,0,-0.0422,-0.1105,-5.8872,-0.0192,-0.1197,-6.0856,0.1887,0.199940491146741,0.4314,0.3922,0.1961,2.5072,1,NA,"Tomato_60d_1",6.88583337532438e-05,0.177280789077108,0.00176642533348212,"Tomato_60d_1_20_1B_60",20
22,23,0,-0.0192,-0.1197,-6.0856,-0.0159,-0.1214,-6.116,0.1887,0.0306258061118391,0.4314,0.3922,0.1961,2.5325,1,NA,"Tomato_60d_1",6.88819527127031e-05,0.176657267522847,0.000270336646257381,"Tomato_60d_1_20_1B_60",20
23,24,0,-0.0159,-0.1214,-6.116,-0.0145,-0.1301,-6.2845,0.1887,0.168730258104468,0.4314,0.3922,0.1961,2.6723,1,NA,"Tomato_60d_1",6.90124638009409e-05,0.173211879645943,0.00149080219215801,"Tomato_60d_1_20_1B_60",20
24,25,0,-0.0145,-0.1301,-6.2845,-0.0107,-0.1428,-6.484,0.1887,0.199939940982286,0.4314,0.3922,0.1961,2.8385,1,NA,"Tomato_60d_1",6.91676207599188e-05,0.169115860581984,0.0017675683330138,"Tomato_60d_1_20_1B_60",20
25,26,0,-0.0107,-0.1428,-6.484,-0.0109,-0.1436,-6.5094,0.1887,0.0254133823014572,0.4314,0.3922,0.1961,2.8596,1,NA,"Tomato_60d_1",6.91873187853968e-05,0.168595848534755,0.00022451508245375,"Tomato_60d_1_20_1B_60",20
26,27,0,-0.0109,-0.1436,-6.5094,-0.0183,-0.145,-6.7093,0.1887,0.200041820627587,0.4314,0.3922,0.1961,3.0265,1,NA,"Tomato_60d_1",6.93431292333716e-05,0.164589058497815,0.00176971192774921,"Tomato_60d_1_20_1B_60",20
27,28,0,-0.0183,-0.145,-6.7093,-0.0188,-0.1467,-6.7498,0.1887,0.0405387468972584,0.4314,0.3922,0.1961,3.0604,1,NA,"Tomato_60d_1",6.93747767719357e-05,0.163861988086447,0.000358468542250145,"Tomato_60d_1_20_1B_60",20
28,29,0,-0.0188,-0.1467,-6.7498,-0.0196,-0.1556,-6.8283,0.1887,0.0790069617185726,0.4314,0.3922,0.1961,3.1265,1,NA,"Tomato_60d_1",6.94364848043572e-05,0.162444308021805,0.000698944370453246,"Tomato_60d_1_20_1B_60",20
