"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","X","RSA_id","kr","Kx","SUF","RSHA_id","age"
0,1,0,0,0,-3,0.0066,-0.0078,-3.1751,0.1887,0.175397862016616,0.4314,0.3922,0.1961,0.1383,1,NA,"Tomato_60d_1",7.17153836865722e-05,0.246087691037631,0.00215212043865149,"Tomato_60d_1_20_3_60",20
1,2,0,0.0066,-0.0078,-3.1751,0.0047,-0.0036,-3.3398,0.1887,0.164764498603309,0.4314,0.3922,0.1961,0.2685,1,NA,"Tomato_60d_1",7.16123985228368e-05,0.241850770802401,0.00200961817651254,"Tomato_60d_1_20_3_60",20
2,3,0,0.0047,-0.0036,-3.3398,0.0022,0.0019,-3.5397,0.1887,0.199991274809678,0.4314,0.3922,0.1961,0.4271,1,NA,"Tomato_60d_1",7.14869496213895e-05,0.236689668273159,0.00242435426016217,"Tomato_60d_1_20_3_60",20
3,4,0,0.0022,0.0019,-3.5397,0.0024,0.0027,-3.5735,0.1887,0.0338100576751951,0.4314,0.3922,0.1961,0.454,1,NA,"Tomato_60d_1",7.14656723486976e-05,0.235814298424252,0.000408634950151695,"Tomato_60d_1_20_3_60",20
4,5,0,0.0024,0.0027,-3.5735,-0.0033,0.0028,-3.7597,0.1887,0.186287251308295,0.4314,0.3922,0.1961,0.6022,1,NA,"Tomato_60d_1",7.13484496047223e-05,0.230991628847747,0.00224238049020519,"Tomato_60d_1_20_3_60",20
5,6,0,-0.0033,0.0028,-3.7597,-0.0113,0.0018,-3.9595,0.1887,0.199962596502446,0.4314,0.3922,0.1961,0.7618,1,NA,"Tomato_60d_1",7.1222209726595e-05,0.225797984688434,0.00239279252666887,"Tomato_60d_1_20_3_60",20
6,7,0,-0.0113,0.0018,-3.9595,-0.0172,-0.0028,-4.0153,0.1887,0.0562992895159433,0.4314,0.3922,0.1961,0.8068,1,NA,"Tomato_60d_1",7.11866157759952e-05,0.224333611335244,0.000671570952387837,"Tomato_60d_1_20_3_60",20
7,8,0,-0.0172,-0.0028,-4.0153,-0.0565,-0.0171,-4.2109,0.1887,0.200020848913307,0.4314,0.3922,0.1961,0.967,1,NA,"Tomato_60d_1",7.105990131186e-05,0.219120442197888,0.00237558799026306,"Tomato_60d_1_20_3_60",20
8,9,0,-0.0565,-0.0171,-4.2109,-0.0646,-0.0234,-4.2751,0.1887,0.0650149213642535,0.4314,0.3922,0.1961,1.0192,1,NA,"Tomato_60d_1",7.10186123291642e-05,0.217531545260621,0.000769706483834341,"Tomato_60d_1_20_3_60",20
9,10,0,-0.0646,-0.0234,-4.2751,-0.0876,-0.0424,-4.4728,0.1887,0.199938215456676,0.4314,0.3922,0.1961,1.1801,1,NA,"Tomato_60d_1",7.08913441813529e-05,0.212974942479386,0.00235712600342553,"Tomato_60d_1_20_3_60",20
