"tpot","Krs","Krs_exact","RSHA_id","RSA_id","age"
1.8675270143933e-05,1.2704265404036e-09,1.2704265404036e-09,"Tomato_30_1_1_Scenario_1A","Tomato_30_1",1
2.13827714879447e-05,1.45461030530236e-09,1.45461030530688e-09,"Tomato_30_1_3_Scenario_1A","Tomato_30_1",3
2.47835661852579e-05,1.68595688335088e-09,1.68595688341612e-09,"Tomato_30_1_5_Scenario_1A","Tomato_30_1",5
2.8909774902107e-05,1.96665135388483e-09,1.96665135466113e-09,"Tomato_30_1_7_Scenario_1A","Tomato_30_1",7
3.27238594044257e-05,2.22611288465481e-09,2.2261128953195e-09,"Tomato_30_1_9_Scenario_1A","Tomato_30_1",9
3.82912299536616e-05,2.60484557507902e-09,2.60484277589398e-09,"Tomato_30_1_11_Scenario_1A","Tomato_30_1",11
4.45567548814206e-05,3.03107176064086e-09,3.0310568651763e-09,"Tomato_30_1_13_Scenario_1A","Tomato_30_1",13
5.19274659159381e-05,3.53248067455361e-09,3.53241311429524e-09,"Tomato_30_1_15_Scenario_1A","Tomato_30_1",15
6.0415406613306e-05,4.10989160634735e-09,4.10963878101531e-09,"Tomato_30_1_17_Scenario_1A","Tomato_30_1",17
7.02600931548987e-05,4.77959817380263e-09,4.77876338512888e-09,"Tomato_30_1_19_Scenario_1A","Tomato_30_1",19
8.40098213756413e-05,5.71495383507764e-09,5.71299634540658e-09,"Tomato_30_1_21_Scenario_1A","Tomato_30_1",21
0.000124795502911961,8.48948999401094e-09,8.48851252465301e-09,"Tomato_30_1_23_Scenario_1A","Tomato_30_1",23
0.000185042156805104,1.25879018234765e-08,1.25874671753963e-08,"Tomato_30_1_25_Scenario_1A","Tomato_30_1",25
0.000327519964633322,2.22802697029471e-08,2.22784970350483e-08,"Tomato_30_1_27_Scenario_1A","Tomato_30_1",27
0.000600291253804535,4.08361397145942e-08,4.07288960853912e-08,"Tomato_30_1_29_Scenario_1A","Tomato_30_1",29
