"tpot","Krs","Krs_exact","RSHA_id","RSA_id","age"
1.8675270143933e-05,1.2704265404036e-09,1.2704265404036e-09,"Tomato_30_1_1_no_sub","Tomato_30_1",1
1.9131770831741e-05,1.30148100896197e-09,1.3014810089625e-09,"Tomato_30_1_1.5_no_sub","Tomato_30_1",1.5
1.98127197384253e-05,1.34780406383845e-09,1.34780406383947e-09,"Tomato_30_1_2_no_sub","Tomato_30_1",2
2.05704430876716e-05,1.39934986990963e-09,1.39934986991192e-09,"Tomato_30_1_2.5_no_sub","Tomato_30_1",2.5
2.13827714879447e-05,1.45461030530236e-09,1.45461030530688e-09,"Tomato_30_1_3_no_sub","Tomato_30_1",3
2.22559113990885e-05,1.51400757816928e-09,1.51400757817947e-09,"Tomato_30_1_3.5_no_sub","Tomato_30_1",3.5
2.31893089614432e-05,1.57750401098253e-09,1.57750401100259e-09,"Tomato_30_1_4_no_sub","Tomato_30_1",4
2.38352222972375e-05,1.62144369368962e-09,1.62144369372507e-09,"Tomato_30_1_4.5_no_sub","Tomato_30_1",4.5
2.47835661852579e-05,1.68595688335088e-09,1.68595688341612e-09,"Tomato_30_1_5_no_sub","Tomato_30_1",5
2.58383003854328e-05,1.75770750921312e-09,1.75770750935224e-09,"Tomato_30_1_5.5_no_sub","Tomato_30_1",5.5
2.6899980844015e-05,1.82993066966088e-09,1.82993066991118e-09,"Tomato_30_1_6_no_sub","Tomato_30_1",6
2.80728551907833e-05,1.90971804018934e-09,1.90971804070907e-09,"Tomato_30_1_6.5_no_sub","Tomato_30_1",6.5
2.8909774902107e-05,1.96665135388483e-09,1.96665135466113e-09,"Tomato_30_1_7_no_sub","Tomato_30_1",7
2.98972784388866e-05,2.03382846523038e-09,2.03382846631252e-09,"Tomato_30_1_7.5_no_sub","Tomato_30_1",7.5
3.06510440333418e-05,2.08510503628175e-09,2.08510503848533e-09,"Tomato_30_1_8_no_sub","Tomato_30_1",8
3.13140009529602e-05,2.13020414645988e-09,2.130204152863e-09,"Tomato_30_1_8.5_no_sub","Tomato_30_1",8.5
3.27238594044257e-05,2.22611288465481e-09,2.2261128953195e-09,"Tomato_30_1_9_no_sub","Tomato_30_1",9
3.41226968587201e-05,2.32127189515103e-09,2.32127117474281e-09,"Tomato_30_1_9.5_no_sub","Tomato_30_1",9.5
3.55092363108281e-05,2.41559430685905e-09,2.41559315959065e-09,"Tomato_30_1_10_no_sub","Tomato_30_1",10
3.68538676661417e-05,2.50706582762868e-09,2.50706404707963e-09,"Tomato_30_1_10.5_no_sub","Tomato_30_1",10.5
3.82912299536616e-05,2.60484557507902e-09,2.60484277589398e-09,"Tomato_30_1_11_no_sub","Tomato_30_1",11
3.97772689230808e-05,2.70593666143407e-09,2.70593232771859e-09,"Tomato_30_1_11.5_no_sub","Tomato_30_1",11.5
4.13569680568337e-05,2.81339918753971e-09,2.8133924888839e-09,"Tomato_30_1_12_no_sub","Tomato_30_1",12
4.29928593023839e-05,2.92468430628462e-09,2.92467410005726e-09,"Tomato_30_1_12.5_no_sub","Tomato_30_1",12.5
